plot_id,plot,ranch,habitat,bdffp_no,year,old_tag_no,new_tag_number,notes
FF-1,2107,dimona,one,2107,2002,229,269,NA
FF-1,2107,dimona,one,2107,2000,23,165,NA
FF-1,2107,dimona,one,2107,2006,287,326,NA
FF-1,2107,dimona,one,2107,2008,40,365,NA
FF-1,2107,dimona,one,2107,2000,67,245,NA
FF-2,2108,dimona,one,2108,2000,123,NA,NA
FF-2,2108,dimona,one,2108,2007,184,331,NA
FF-2,2108,dimona,one,2108,2006,217,278,NA
FF-2,2108,dimona,one,2108,2005,227,240,NA
FF-2,2108,dimona,one,2108,2006,262,229,NA
FF-2,2108,dimona,one,2108,2006,29,291,NA
FF-2,2108,dimona,one,2108,2000,41,NA,NA
FF-2,2108,dimona,one,2108,2000,64,NA,NA
FF-2,2108,dimona,one,2108,2006,C9 #69,NA,needs new number
FF-5,2206,dimona,ten,2206,2006,104,331,NA
FF-5,2206,dimona,ten,2206,2006,108,341,NA
FF-5,2206,dimona,ten,2206,2003,19,193,NA
FF-5,2206,dimona,ten,2206,2006,208,242,NA
FF-5,2206,dimona,ten,2206,2006,269,322,NA
FF-5,2206,dimona,ten,2206,2002,45,25,NA
FF-5,2206,dimona,ten,2206,2006,53,320,NA
FF-5,2206,dimona,ten,2206,2002,76,186,NA
CF-2,5750,esteio,forest,1501,2004,103,1395,NA
CF-2,5750,esteio,forest,1501,2004,104,989,NA
CF-2,5750,esteio,forest,1501,2004,104,1332,NA
CF-2,5750,esteio,forest,1501,2001,107,717,NA
CF-2,5750,esteio,forest,1501,2004,11,1305,NA
CF-2,5750,esteio,forest,1501,2004,111,1341,NA
CF-2,5750,esteio,forest,1501,2004,116,1306,NA
CF-2,5750,esteio,forest,1501,2004,12,1307,NA
CF-2,5750,esteio,forest,1501,2004,126,1130,NA
CF-2,5750,esteio,forest,1501,2004,128,1334,NA
CF-2,5750,esteio,forest,1501,2004,13,996,996: one in h7 and one in d7
CF-2,5750,esteio,forest,1501,2006,1312,1416,NA
CF-2,5750,esteio,forest,1501,2006,1333,1404,NA
CF-2,5750,esteio,forest,1501,2006,1335,1414,NA
CF-2,5750,esteio,forest,1501,2006,1381,1391,NA
CF-2,5750,esteio,forest,1501,2004,15,977,NA
CF-2,5750,esteio,forest,1501,2004,16,893,NA
CF-2,5750,esteio,forest,1501,2000,160,673,NA
CF-2,5750,esteio,forest,1501,2004,17,1309,NA
CF-2,5750,esteio,forest,1501,2004,18,979,NA
CF-2,5750,esteio,forest,1501,2004,19,1321,NA
CF-2,5750,esteio,forest,1501,2004,2,956,NA
CF-2,5750,esteio,forest,1501,2004,20,995,NA
CF-2,5750,esteio,forest,1501,2004,21,973,NA
CF-2,5750,esteio,forest,1501,2004,22,1301,NA
CF-2,5750,esteio,forest,1501,2004,23,912,NA
CF-2,5750,esteio,forest,1501,2004,24,945,NA
CF-2,5750,esteio,forest,1501,2007,247,2066,NA
CF-2,5750,esteio,forest,1501,2004,25,930,NA
CF-2,5750,esteio,forest,1501,2004,26,957,NA
CF-2,5750,esteio,forest,1501,2004,27,955,NA
CF-2,5750,esteio,forest,1501,2004,28,874,NA
CF-2,5750,esteio,forest,1501,2004,3,998,NA
CF-2,5750,esteio,forest,1501,2004,30,904,NA
CF-2,5750,esteio,forest,1501,2004,31,889,NA
CF-2,5750,esteio,forest,1501,2004,32,913,NA
CF-2,5750,esteio,forest,1501,2006,342,1425,NA
CF-2,5750,esteio,forest,1501,2000,349,575,NA
CF-2,5750,esteio,forest,1501,2007,36,2018,NA
CF-2,5750,esteio,forest,1501,2007,36,2018,NA
CF-2,5750,esteio,forest,1501,2004,37,939,NA
CF-2,5750,esteio,forest,1501,2004,38,899,NA
CF-2,5750,esteio,forest,1501,2004,4,1317,NA
CF-2,5750,esteio,forest,1501,2004,41,921,NA
CF-2,5750,esteio,forest,1501,2004,42,879,NA
CF-2,5750,esteio,forest,1501,2004,43,875,NA
CF-2,5750,esteio,forest,1501,2004,44,961,NA
CF-2,5750,esteio,forest,1501,2004,45,878,NA
CF-2,5750,esteio,forest,1501,2004,46,884,NA
CF-2,5750,esteio,forest,1501,2006,465,1436,NA
CF-2,5750,esteio,forest,1501,2006,468,1415,NA
CF-2,5750,esteio,forest,1501,2004,48,906,NA
CF-2,5750,esteio,forest,1501,2004,5,962,NA
CF-2,5750,esteio,forest,1501,2004,50,935,NA
CF-2,5750,esteio,forest,1501,2004,51,986,NA
CF-2,5750,esteio,forest,1501,2004,52,1329,NA
CF-2,5750,esteio,forest,1501,2004,53,872,NA
CF-2,5750,esteio,forest,1501,2004,54,907,NA
CF-2,5750,esteio,forest,1501,2004,55,929,NA
CF-2,5750,esteio,forest,1501,2004,56,1392,NA
CF-2,5750,esteio,forest,1501,2006,564,1418,NA
CF-2,5750,esteio,forest,1501,2004,58,964,NA
CF-2,5750,esteio,forest,1501,2004,59,1311,NA
CF-2,5750,esteio,forest,1501,2004,6,1313,NA
CF-2,5750,esteio,forest,1501,2004,61,991,NA
CF-2,5750,esteio,forest,1501,2001,618,781,NA
CF-2,5750,esteio,forest,1501,2004,62,969,NA
CF-2,5750,esteio,forest,1501,2004,64,1000,NA
CF-2,5750,esteio,forest,1501,2004,66,990,NA
CF-2,5750,esteio,forest,1501,2004,67,992,NA
CF-2,5750,esteio,forest,1501,2004,68,980,NA
CF-2,5750,esteio,forest,1501,2004,69,975,NA
CF-2,5750,esteio,forest,1501,2004,7,965,NA
CF-2,5750,esteio,forest,1501,2004,71,976,NA
CF-2,5750,esteio,forest,1501,2004,72,983,NA
CF-2,5750,esteio,forest,1501,2004,74,993,NA
CF-2,5750,esteio,forest,1501,2004,75,1320,NA
CF-2,5750,esteio,forest,1501,2004,78,978,NA
CF-2,5750,esteio,forest,1501,2004,8,1316,NA
CF-2,5750,esteio,forest,1501,2004,80,999,NA
CF-2,5750,esteio,forest,1501,2006,814,1442,NA
CF-2,5750,esteio,forest,1501,2004,82,963,NA
CF-2,5750,esteio,forest,1501,2004,83,886,NA
CF-2,5750,esteio,forest,1501,2004,84,981,NA
CF-2,5750,esteio,forest,1501,2004,87,1386,NA
CF-2,5750,esteio,forest,1501,2004,89,996,996: one in h7 and one in d7
CF-2,5750,esteio,forest,1501,2004,90,1331,NA
CF-2,5750,esteio,forest,1501,2004,91,994,NA
CF-2,5750,esteio,forest,1501,2004,93,1397,NA
CF-2,5750,esteio,forest,1501,2004,96,982,NA
CF-2,5750,esteio,forest,1501,2006,968,896,NA
CF-2,5750,esteio,forest,1501,2006,996,966,NA
FF-3,5751,esteio,one,1104,2006,305,403,NA
FF-2,5752,dimona,one,2108,2006,116,789,NA
FF-2,5752,dimona,one,2108,2006,622,804,NA
FF-3,5753,esteio,one,1104,2009,366,371,NA
FF-3,5753,esteio,one,1104,2009,74,412,NA
FF-3,5753,esteio,one,1104,2006,98,405,NA
CF-3,5756,esteio,forest,1501,1999, U104,746,NA
CF-3,5756,esteio,forest,1501,1999, U116,467,NA
CF-3,5756,esteio,forest,1501,1999, U117,478,NA
CF-3,5756,esteio,forest,1501,1999, U171,425,NA
CF-3,5756,esteio,forest,1501,1999, U172,482,NA
CF-3,5756,esteio,forest,1501,2001,12,949,NA
CF-3,5756,esteio,forest,1501,2006,1272,1656,NA
CF-3,5756,esteio,forest,1501,2000,167,776,NA
CF-3,5756,esteio,forest,1501,2006,1671,1649,NA
CF-3,5756,esteio,forest,1501,2007,286,1687,NA
CF-3,5756,esteio,forest,1501,2006,342,1661,NA
CF-3,5756,esteio,forest,1501,1999,399,598,NA
CF-3,5756,esteio,forest,1501,2001,479,935,NA
CF-3,5756,esteio,forest,1501,2002,7,956,NA
CF-6,CF-CF,porto alegre,forest,3402,2006,116,62,NA
CF-6,CF-CF,porto alegre,forest,3402,2007,173,87,NA
CF-6,CF-CF,porto alegre,forest,3402,2001,252,292,NA
CF-6,CF-CF,porto alegre,forest,3402,2002,341,267,"not sure which is original, but think it is like this"
CF-6,CF-CF,porto alegre,forest,3402,2004,371,21,NA
CF-6,CF-CF,porto alegre,forest,3402,2007,5,2102,NA
FF-3,Colosso-1,esteio,one,1104,1999, U7,154,NA
FF-3,Colosso-1,esteio,one,1104,1999, U9,137,NA
FF-3,Colosso-1,esteio,one,1104,2000,100,277,NA
FF-3,Colosso-1,esteio,one,1104,2002,179,246,NA
FF-6,Colosso-10,esteio,ten,1202,2000,186,280,NA
FF-6,Colosso-10,esteio,ten,1202,2001,196,552,NA
FF-6,Colosso-10,esteio,ten,1202,2000,214=305,214,NA
FF-6,Colosso-10,esteio,ten,1202,2001,251,556,NA
FF-6,Colosso-10,esteio,ten,1202,2001,308,585,NA
CF-4,Dim-CF,dimona,forest,NA,2001,12,167,NA
CF-4,Dim-CF,dimona,forest,NA,2001,142,122,NA
CF-4,Dim-CF,dimona,forest,NA,2001,15,106,NA
CF-4,Dim-CF,dimona,forest,NA,2006,176,184,NA
CF-4,Dim-CF,dimona,forest,NA,2006,176,184,NA
CF-4,Dim-CF,dimona,forest,NA,2001,77,108,NA
CF-1,Florestal,esteio,forest,1301,2006,1027,1257,NA
CF-1,Florestal,esteio,forest,1301,2006,1027,1257,NA
CF-1,Florestal,esteio,forest,1301,2007,121,1570,NA
CF-1,Florestal,esteio,forest,1301,2007,159,1581,NA
CF-1,Florestal,esteio,forest,1301,2009,174,1912,NA
CF-1,Florestal,esteio,forest,1301,2001,19,1036,NA
CF-1,Florestal,esteio,forest,1301,2006,257,1273,NA
CF-1,Florestal,esteio,forest,1301,2006,257,1273,NA
CF-1,Florestal,esteio,forest,1301,2001,277,1004,NA
CF-1,Florestal,esteio,forest,1301,2002,424,1118,NA
CF-1,Florestal,esteio,forest,1301,2000,435,930,NA
CF-1,Florestal,esteio,forest,1301,2007,48,1294,NA
CF-1,Florestal,esteio,forest,1301,2000,480,904,NA
CF-1,Florestal,esteio,forest,1301,2001,608,1077,NA
CF-1,Florestal,esteio,forest,1301,2002,920,1442,NA
CF-5,PA CF,porto alegre,forest,NA,2001,103,295,NA
CF-5,PA CF,porto alegre,forest,NA,2001,11,287,NA
CF-5,PA CF,porto alegre,forest,NA,2006,116,62,NA
CF-5,PA CF,porto alegre,forest,NA,2001,122,263,NA
CF-5,PA CF,porto alegre,forest,NA,2006,204,42,NA
CF-5,PA CF,porto alegre,forest,NA,2004,43,224,NA
FF-7,PA-10,porto alegre,ten,3209,2002,120,984,NA
FF-7,PA-10,porto alegre,ten,3209,2000,170,625,NA
FF-7,PA-10,porto alegre,ten,3209,2002,22,1354,NA
FF-7,PA-10,porto alegre,ten,3209,2002,23,993,NA
FF-7,PA-10,porto alegre,ten,3209,2002,26,1309,NA
FF-7,PA-10,porto alegre,ten,3209,2002,27,1305,NA
FF-7,PA-10,porto alegre,ten,3209,2001,297,1398,NA
FF-7,PA-10,porto alegre,ten,3209,2001,300,1391,NA
FF-7,PA-10,porto alegre,ten,3209,2001,316,1383,NA
FF-7,PA-10,porto alegre,ten,3209,2003,321,806,NA
FF-7,PA-10,porto alegre,ten,3209,2001,323,1390,NA
FF-7,PA-10,porto alegre,ten,3209,2003,5,847,NA
FF-7,PA-10,porto alegre,ten,3209,2002,501,632,NA
FF-7,PA-10,porto alegre,ten,3209,2000,548,611,NA
FF-7,PA-10,porto alegre,ten,3209,2002,57,928,NA
FF-7,PA-10,porto alegre,ten,3209,2000,572,909,NA
FF-7,PA-10,porto alegre,ten,3209,2001,608,1389,NA
FF-7,PA-10,porto alegre,ten,3209,2001,632,1396,NA
FF-7,PA-10,porto alegre,ten,3209,2003,PVC,24,NA
FF-7,PA-10,porto alegre,ten,3209,2003,PVC,10,NA
FF-7,PA-10,porto alegre,ten,3209,2003,PVC,61,NA
FF-7,PA-10,porto alegre,ten,3209,2004,PVC,746,NA
FF-7,PA-10,porto alegre,ten,3209,2003,PVC 10,801,NA
FF-7,PA-10,porto alegre,ten,3209,2004,PVC 40,705,NA
FF-7,PA-10,porto alegre,ten,3209,2003,PVC 61,832,NA
FF-7,PA-10,porto alegre,ten,3209,2003,PVC 71,817,NA
FF-7,PA-10,porto alegre,ten,3209,2003,PVC 73,831,NA
CF-5,PA-CF,porto alegre,forest,NA,2007,75,305,NA
FF-4,PA1,porto alegre,one,3114,2004,21,371,NA
FF-4,PA1,porto alegre,one,3114,2002,43,400,NA
