plant_id,plot,habitat,ranch,bdffp_reserve_no,tag_number,row,column,plot_id,year,code,duplicate_tag,adult_no_tag,recorded_sdlg,treefall_status,condition,census_status,subplot
221,2107,1-ha,DIM,2107,228,C,7,FF-1,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,C7
146,2107,1-ha,DIM,2107,240,B,7,FF-1,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,B7
58,2107,1-ha,DIM,2107,244,A,7,FF-1,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,A7
174,2107,1-ha,DIM,2107,246,C,10,FF-1,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,C10
59,2107,1-ha,DIM,2107,255,A,7,FF-1,2001,ULY,NA,TRUE,FALSE,NA,NA,measured,A7
28,2107,1-ha,DIM,2107,262,A,3,FF-1,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,A3
247,2107,1-ha,DIM,2107,275,C,9,FF-1,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,C9
324,2107,1-ha,DIM,2107,304,E,5,FF-1,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,E5
257,2107,1-ha,DIM,2107,306,D,10,FF-1,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,D10
294,2107,1-ha,DIM,2107,310,D,8,FF-1,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,D8
304,2107,1-ha,DIM,2107,30,E,1,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,E1
226,2107,1-ha,DIM,2107,35,C,8,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,C8
277,2107,1-ha,DIM,2107,42,D,5,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,D5
101,2107,1-ha,DIM,2107,74,B,3,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,B3
102,2107,1-ha,DIM,2107,77,B,3,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,B3
69,2107,1-ha,DIM,2107,111,A,9,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,A9
323,2107,1-ha,DIM,2107,123,E,5,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,E5
141,2107,1-ha,DIM,2107,165,B,6,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,B6
71,2107,1-ha,DIM,2107,215,A,9,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,A9
21,2107,1-ha,DIM,2107,218,A,10,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,A10
190,2107,1-ha,DIM,2107,220,C,2,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,C2
174,2107,1-ha,DIM,2107,246,C,10,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,C10
126,2107,1-ha,DIM,2107,280,B,4,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,B4
321,2107,1-ha,DIM,2107,303,E,4,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,E4
325,2107,1-ha,DIM,2107,375,E,5,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,E5
302,2107,1-ha,DIM,2107,387,D,9,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,D9
303,2107,1-ha,DIM,2107,391,D,9,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,D9
421,2108,1-ha,DIM,2108,209,B,2,FF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,B2
626,2108,1-ha,DIM,2108,215,E,7,FF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,E7
527,2108,1-ha,DIM,2108,231,D,1,FF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,D1
543,2108,1-ha,DIM,2108,299,D,2,FF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,D2
520,2108,1-ha,DIM,2108,64,D,1,FF-2,2001,ULY,NA,TRUE,FALSE,NA,NA,measured,D1
500,2108,1-ha,DIM,2108,241,C,8,FF-2,2001,ULY,NA,TRUE,FALSE,NA,NA,measured,C8
398,2108,1-ha,DIM,2108,235,A,9,FF-2,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,A9
381,2108,1-ha,DIM,2108,400,A,6,FF-2,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,A6
601,2108,1-ha,DIM,2108,294,D,9,FF-2,2007,ULY,NA,TRUE,FALSE,NA,NA,measured,D9
603,2108,1-ha,DIM,2108,301,D,9,FF-2,2007,ULY,NA,TRUE,FALSE,NA,NA,measured,D9
595,2108,1-ha,DIM,2108,392,D,8,FF-2,2007,ULY,NA,TRUE,FALSE,NA,NA,measured,D8
518,2108,1-ha,DIM,2108,393,C,9,FF-2,2007,ULY,NA,TRUE,FALSE,NA,NA,measured,C9
478,2108,1-ha,DIM,2108,4,C,4,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,C4
444,2108,1-ha,DIM,2108,16,B,7,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,B7
490,2108,1-ha,DIM,2108,57,C,7,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,C7
393,2108,1-ha,DIM,2108,59,A,9,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,A9
451,2108,1-ha,DIM,2108,70,B,8,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,B8
637,2108,1-ha,DIM,2108,86,E,8,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,E8
394,2108,1-ha,DIM,2108,91,A,9,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,A9
605,2108,1-ha,DIM,2108,139,E,1,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,E1
366,2108,1-ha,DIM,2108,141,A,4,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,A4
399,2108,1-ha,DIM,2108,246,A,9,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,A9
613,2108,1-ha,DIM,2108,256,E,10,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,E10
445,2108,1-ha,DIM,2108,276,B,7,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,B7
505,2108,1-ha,DIM,2108,309,C,8,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,C8
622,2108,1-ha,DIM,2108,323,E,3,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,E3
350,2108,1-ha,DIM,2108,350,A,10,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,A10
593,2108,1-ha,DIM,2108,359,D,8,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,D8
462,2108,1-ha,DIM,2108,396,B,8,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,B8
915,2206,10-ha,DIM,2206,124,E,3,FF-5,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,E3
659,2206,10-ha,DIM,2206,143,A,3,FF-5,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,A3
755,2206,10-ha,DIM,2206,168,B,5,FF-5,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,B5
878,2206,10-ha,DIM,2206,192,D,3,FF-5,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,D3
881,2206,10-ha,DIM,2206,204,D,3,FF-5,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,D3
887,2206,10-ha,DIM,2206,207,D,6,FF-5,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,D6
935,2206,10-ha,DIM,2206,211,E,8,FF-5,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,E8
901,2206,10-ha,DIM,2206,213,E,10,FF-5,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,E10
900,2206,10-ha,DIM,2206,210,E,10,FF-5,2001,ULY,NA,TRUE,FALSE,NA,NA,measured,E10
936,2206,10-ha,DIM,2206,22,E,9,FF-5,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,E9
676,2206,10-ha,DIM,2206,253,A,4,FF-5,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,A4
725,2206,10-ha,DIM,2206,270,B,10,FF-5,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,B10
893,2206,10-ha,DIM,2206,149,D,9,FF-5,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,D9
802,2206,10-ha,DIM,2206,323,B,9,FF-5,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,B9
803,2206,10-ha,DIM,2206,333,B,9,FF-5,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,B9
804,2206,10-ha,DIM,2206,335,B,9,FF-5,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,B9
2135,5750,CF,EST,1501,558,J,9,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,J9
2137,5750,CF,EST,1501,562,J,9,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,J9
1789,5750,CF,EST,1501,570,H,7,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,H7
2083,5750,CF,EST,1501,578,J,8,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,J8
1419,5750,CF,EST,1501,587,D,8,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,D8
2058,5750,CF,EST,1501,598,J,7,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,J7
1511,5750,CF,EST,1501,600,F,10,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,F10
1512,5750,CF,EST,1501,601,F,10,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,F10
1288,5750,CF,EST,1501,615,C,9,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,C9
1572,5750,CF,EST,1501,633,F,8,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,F8
2086,5750,CF,EST,1501,652,J,8,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,J8
2087,5750,CF,EST,1501,654,J,8,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,J8
1819,5750,CF,EST,1501,657,H,8,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,H8
1125,5750,CF,EST,1501,701,B,7,CF-2,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,B7
1376,5750,CF,EST,1501,743,D,6,CF-2,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,D6
1377,5750,CF,EST,1501,759,D,6,CF-2,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,D6
1038,5750,CF,EST,1501,767,A,8,CF-2,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,A8
1998,5750,CF,EST,1501,810,J,10,CF-2,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,J10
2000,5750,CF,EST,1501,827,J,10,CF-2,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,J10
1064,5750,CF,EST,1501,828,A,9,CF-2,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,A9
1324,5750,CF,EST,1501,869,C,9,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,C9
1689,5750,CF,EST,1501,882,G,9,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,G9
1593,5750,CF,EST,1501,887,F,9,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,F9
1851,5750,CF,EST,1501,901,I,10,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,I10
1722,5750,CF,EST,1501,905,H,10,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,H10
1326,5750,CF,EST,1501,909,C,9,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,C9
2157,5750,CF,EST,1501,916,J,9,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,J9
2003,5750,CF,EST,1501,918,J,10,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,J10
1961,5750,CF,EST,1501,922,I,9,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,I9
2004,5750,CF,EST,1501,932,J,10,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,J10
2159,5750,CF,EST,1501,940,J,9,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,J9
2060,5750,CF,EST,1501,997,J,7,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,J7
1796,5750,CF,EST,1501,1327,H,7,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,H7
1006,5750,CF,EST,1501,1336,A,7,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,A7
1040,5750,CF,EST,1501,1404,A,8,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,A8
1560,5750,CF,EST,1501,1416,F,7,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,F7
2163,5750,CF,EST,1501,1417,J,9,CF-2,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,J9
1585,5750,CF,EST,1501,2061,F,8,CF-2,2007,ULY,NA,TRUE,FALSE,NA,NA,measured,F8
1072,5750,CF,EST,1501,29,B,10,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,B10
1670,5750,CF,EST,1501,233,G,9,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,G9
1737,5750,CF,EST,1501,369,H,6,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,H6
1921,5750,CF,EST,1501,424,I,8,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,I8
1589,5750,CF,EST,1501,542,F,9,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,F9
1820,5750,CF,EST,1501,965,H,8,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,H8
1795,5750,CF,EST,1501,996,H,7,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,H7
1381,5750,CF,EST,1501,1359,D,6,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,D6
1801,5750,CF,EST,1501,2043,H,7,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,H7
1892,5750,CF,EST,1501,2070,I,6,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,I6
2164,5750,CF,EST,1501,2306,J,9,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,J9
2030,5750,CF,EST,1501,2313,J,6,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,J6
2034,5750,CF,EST,1501,2317,J,6,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,J6
2119,5750,CF,EST,1501,2341,J,8,CF-2,2009,ULY,NA,TRUE,FALSE,NA,NA,measured,J8
2521,5751,1-ha,EST,1104,216,E,5,FF-3,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,E5
2469,5751,1-ha,EST,1104,237,D,9,FF-3,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,D9
2433,5751,1-ha,EST,1104,261,D,6,FF-3,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,D6
2536,5751,1-ha,EST,1104,267,E,6,FF-3,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,E6
2498,5751,1-ha,EST,1104,241,E,10,FF-3,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,E10
2534,5751,1-ha,EST,1104,254,E,6,FF-3,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,E6
2452,5751,1-ha,EST,1104,289,D,7,FF-3,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,D7
2381,5751,1-ha,EST,1104,338,D,1,FF-3,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,D1
2399,5751,1-ha,EST,1104,247,D,3,FF-3,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,D3
2257,5751,1-ha,EST,1104,282,B,7,FF-3,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,B7
2194,5751,1-ha,EST,1104,286,A,7,FF-3,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,A7
2277,5751,1-ha,EST,1104,428,C,1,FF-3,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,C1
2383,5751,1-ha,EST,1104,429,D,1,FF-3,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,D1
2546,5751,1-ha,EST,1104,93,E,7,FF-3,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,E7
2480,5751,1-ha,EST,1104,137,E,1,FF-3,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,E1
2369,5751,1-ha,EST,1104,191,C,9,FF-3,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,C9
2433,5751,1-ha,EST,1104,261,D,6,FF-3,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,D6
2503,5751,1-ha,EST,1104,331,E,2,FF-3,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,E2
2555,5751,1-ha,EST,1104,340,E,7,FF-3,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,E7
2286,5751,1-ha,EST,1104,396,C,2,FF-3,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,C2
2988,5752,10-ha,EST,1202,411,C,5,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,C5
2794,5752,10-ha,EST,1202,431,B,4,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,B4
3171,5752,10-ha,EST,1202,432,D,5,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,D5
3149,5752,10-ha,EST,1202,441,D,4,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,D4
3102,5752,10-ha,EST,1202,445,D,1,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,D1
3117,5752,10-ha,EST,1202,457,D,10,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,D10
3118,5752,10-ha,EST,1202,462,D,10,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,D10
2726,5752,10-ha,EST,1202,466,A,9,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,A9
3085,5752,10-ha,EST,1202,468,C,9,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,C9
2727,5752,10-ha,EST,1202,470,A,9,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,A9
3398,5752,10-ha,EST,1202,475,E,9,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,E9
2728,5752,10-ha,EST,1202,476,A,9,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,A9
3346,5752,10-ha,EST,1202,477,E,5,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,E5
2923,5752,10-ha,EST,1202,486,C,10,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,C10
2888,5752,10-ha,EST,1202,494,B,9,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,B9
3087,5752,10-ha,EST,1202,497,C,9,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,C9
3120,5752,10-ha,EST,1202,498,D,10,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,D10
2866,5752,10-ha,EST,1202,501,B,8,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,B8
2867,5752,10-ha,EST,1202,502,B,8,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,B8
2869,5752,10-ha,EST,1202,509,B,8,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,B8
2870,5752,10-ha,EST,1202,510,B,8,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,B8
3121,5752,10-ha,EST,1202,542,D,10,FF-6,2001,ULY,NA,TRUE,FALSE,NA,NA,measured,D10
2708,5752,10-ha,EST,1202,558,A,8,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,A8
3089,5752,10-ha,EST,1202,575,C,9,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,C9
2583,5752,10-ha,EST,1202,577,A,1,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,A1
2852,5752,10-ha,EST,1202,582,B,6,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,B6
3030,5752,10-ha,EST,1202,587,C,7,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,C7
2625,5752,10-ha,EST,1202,601,A,4,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,A4
2626,5752,10-ha,EST,1202,603,A,4,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,A4
2776,5752,10-ha,EST,1202,604,B,3,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,B3
2801,5752,10-ha,EST,1202,606,B,4,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,B4
2692,5752,10-ha,EST,1202,609,A,7,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,A7
2629,5752,10-ha,EST,1202,615,A,4,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,A4
2711,5752,10-ha,EST,1202,616,A,8,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,A8
3351,5752,10-ha,EST,1202,625,E,5,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,E5
2777,5752,10-ha,EST,1202,628,B,3,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,B3
3032,5752,10-ha,EST,1202,638,C,7,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,C7
2779,5752,10-ha,EST,1202,641,B,3,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,B3
3091,5752,10-ha,EST,1202,647,C,9,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,C9
2758,5752,10-ha,EST,1202,650,B,2,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,B2
2902,5752,10-ha,EST,1202,579,C,1,FF-6,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,C1
2963,5752,10-ha,EST,1202,674,C,4,FF-6,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,C4
2837,5752,10-ha,EST,1202,706,B,5,FF-6,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,B5
2894,5752,10-ha,EST,1202,771,B,9,FF-6,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,B9
2675,5752,10-ha,EST,1202,777,A,6,FF-6,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,A6
3007,5752,10-ha,EST,1202,801,C,5,FF-6,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,C5
3321,5752,10-ha,EST,1202,805,E,2,FF-6,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,E2
3109,5752,10-ha,EST,1202,807,D,1,FF-6,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,D1
3110,5752,10-ha,EST,1202,808,D,1,FF-6,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,D1
2840,5752,10-ha,EST,1202,816,B,5,FF-6,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,B5
2841,5752,10-ha,EST,1202,818,B,5,FF-6,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,B5
2682,5752,10-ha,EST,1202,830,A,6,FF-6,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,A6
2967,5752,10-ha,EST,1202,846,C,4,FF-6,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,C4
3322,5752,10-ha,EST,1202,847,E,2,FF-6,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,E2
3284,5752,10-ha,EST,1202,848,E,1,FF-6,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,E1
3706,5753,1-ha,PAL,3114,253,E,3,FF-4,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,E3
