habitat,ranch,plot_id,plot,year,old_tag_no,new_tag_number,notes
1-ha,DIM,FF-1,2107,2000,23,165,NA
1-ha,DIM,FF-1,2107,2000,67,245,NA
1-ha,DIM,FF-1,2107,2002,229,269,NA
1-ha,DIM,FF-1,2107,2006,287,326,NA
1-ha,DIM,FF-2,2108,2000,123,NA,NA
1-ha,DIM,FF-2,2108,2000,64,NA,NA
1-ha,DIM,FF-2,2108,2000,41,NA,NA
1-ha,DIM,FF-2,2108,2005,227,240,NA
1-ha,DIM,FF-2,2108,2006,217,278,NA
1-ha,DIM,FF-2,2108,2006,C9 #69,NA,needs new number
1-ha,DIM,FF-2,2108,2006,29,291,NA
1-ha,DIM,FF-2,2108,2006,262,229,NA
1-ha,DIM,FF-2,2108,2007,184,331,NA
10-ha,DIM,FF-5,2206,2002,45,25,NA
10-ha,DIM,FF-5,2206,2002,76,186,NA
10-ha,DIM,FF-5,2206,2003,19,193,NA
10-ha,DIM,FF-5,2206,2006,108,341,NA
10-ha,DIM,FF-5,2206,2006,269,322,NA
10-ha,DIM,FF-5,2206,2006,53,320,NA
10-ha,DIM,FF-5,2206,2006,208,242,NA
10-ha,DIM,FF-5,2206,2006,104,331,NA
CF,EST,CF-2,5750,2000,349,575,NA
CF,EST,CF-2,5750,2000,160,673,NA
CF,EST,CF-2,5750,2001,107,717,NA
CF,EST,CF-2,5750,2001,618,781,NA
CF,EST,CF-2,5750,2004,53,872,NA
CF,EST,CF-2,5750,2004,28,874,NA
CF,EST,CF-2,5750,2004,43,875,NA
CF,EST,CF-2,5750,2004,45,878,NA
CF,EST,CF-2,5750,2004,42,879,NA
CF,EST,CF-2,5750,2004,46,884,NA
CF,EST,CF-2,5750,2004,83,886,NA
CF,EST,CF-2,5750,2004,31,889,NA
CF,EST,CF-2,5750,2004,16,893,NA
CF,EST,CF-2,5750,2004,38,899,NA
CF,EST,CF-2,5750,2004,30,904,NA
CF,EST,CF-2,5750,2004,48,906,NA
CF,EST,CF-2,5750,2004,54,907,NA
CF,EST,CF-2,5750,2004,23,912,NA
CF,EST,CF-2,5750,2004,32,913,NA
CF,EST,CF-2,5750,2004,41,921,NA
CF,EST,CF-2,5750,2004,55,929,NA
CF,EST,CF-2,5750,2004,25,930,NA
CF,EST,CF-2,5750,2004,50,935,NA
CF,EST,CF-2,5750,2004,37,939,NA
CF,EST,CF-2,5750,2004,24,945,NA
CF,EST,CF-2,5750,2004,27,955,NA
CF,EST,CF-2,5750,2004,2,956,NA
CF,EST,CF-2,5750,2004,26,957,NA
CF,EST,CF-2,5750,2004,44,961,NA
CF,EST,CF-2,5750,2004,5,962,NA
CF,EST,CF-2,5750,2004,82,963,NA
CF,EST,CF-2,5750,2004,58,964,NA
CF,EST,CF-2,5750,2004,7,965,NA
CF,EST,CF-2,5750,2004,62,969,NA
CF,EST,CF-2,5750,2004,21,973,NA
CF,EST,CF-2,5750,2004,69,975,NA
CF,EST,CF-2,5750,2004,71,976,NA
CF,EST,CF-2,5750,2004,15,977,NA
CF,EST,CF-2,5750,2004,78,978,NA
CF,EST,CF-2,5750,2004,18,979,NA
CF,EST,CF-2,5750,2004,68,980,NA
CF,EST,CF-2,5750,2004,84,981,NA
CF,EST,CF-2,5750,2004,96,982,NA
CF,EST,CF-2,5750,2004,72,983,NA
CF,EST,CF-2,5750,2004,51,986,NA
CF,EST,CF-2,5750,2004,104,989,NA
CF,EST,CF-2,5750,2004,66,990,NA
CF,EST,CF-2,5750,2004,61,991,NA
CF,EST,CF-2,5750,2004,67,992,NA
CF,EST,CF-2,5750,2004,74,993,NA
CF,EST,CF-2,5750,2004,91,994,NA
CF,EST,CF-2,5750,2004,20,995,NA
CF,EST,CF-2,5750,2004,13,996,996: one in h7 and one in d7
CF,EST,CF-2,5750,2004,89,996,996: one in h7 and one in d7
CF,EST,CF-2,5750,2004,3,998,NA
CF,EST,CF-2,5750,2004,80,999,NA
CF,EST,CF-2,5750,2004,64,1000,NA
CF,EST,CF-2,5750,2004,126,1130,NA
CF,EST,CF-2,5750,2004,22,1301,NA
CF,EST,CF-2,5750,2004,11,1305,NA
CF,EST,CF-2,5750,2004,116,1306,NA
CF,EST,CF-2,5750,2004,12,1307,NA
CF,EST,CF-2,5750,2004,17,1309,NA
CF,EST,CF-2,5750,2004,59,1311,NA
CF,EST,CF-2,5750,2004,6,1313,NA
CF,EST,CF-2,5750,2004,8,1316,NA
CF,EST,CF-2,5750,2004,4,1317,NA
CF,EST,CF-2,5750,2004,75,1320,NA
CF,EST,CF-2,5750,2004,19,1321,NA
CF,EST,CF-2,5750,2004,52,1329,NA
CF,EST,CF-2,5750,2004,90,1331,NA
CF,EST,CF-2,5750,2004,104,1332,NA
CF,EST,CF-2,5750,2004,128,1334,NA
CF,EST,CF-2,5750,2004,111,1341,NA
CF,EST,CF-2,5750,2004,87,1386,NA
CF,EST,CF-2,5750,2004,56,1392,NA
CF,EST,CF-2,5750,2004,103,1395,NA
CF,EST,CF-2,5750,2004,93,1397,NA
CF,EST,CF-2,5750,2006,1333,1404,NA
CF,EST,CF-2,5750,2006,1335,1414,NA
CF,EST,CF-2,5750,2006,468,1415,NA
CF,EST,CF-2,5750,2006,814,1442,NA
CF,EST,CF-2,5750,2006,465,1436,NA
CF,EST,CF-2,5750,2006,968,896,NA
CF,EST,CF-2,5750,2006,996,966,NA
CF,EST,CF-2,5750,2006,1312,1416,NA
CF,EST,CF-2,5750,2006,342,1425,NA
CF,EST,CF-2,5750,2006,564,1418,NA
CF,EST,CF-2,5750,2006,1381,1391,NA
CF,EST,CF-2,5750,2007,36,2018,NA
CF,EST,CF-2,5750,2007,247,2066,NA
CF,EST,CF-2,5750,2007,36,2018,NA
1-ha,EST,FF-3,5751,2006,305,403,NA
10-ha,EST,FF-6,5752,2006,622,804,NA
10-ha,EST,FF-6,5752,2006,116,789,NA
1-ha,PAL,FF-4,5753,2006,98,405,NA
CF,EST,CF-3,5756,1999,U171,425,NA
CF,EST,CF-3,5756,1999,U116,467,NA
CF,EST,CF-3,5756,1999,U117,478,NA
CF,EST,CF-3,5756,1999,U172,482,NA
CF,EST,CF-3,5756,1999,399,598,NA
CF,EST,CF-3,5756,1999,U104,746,NA
CF,EST,CF-3,5756,2000,167,776,NA
CF,EST,CF-3,5756,2001,479,935,NA
CF,EST,CF-3,5756,2001,12,949,NA
CF,EST,CF-3,5756,2002,7,956,NA
CF,EST,CF-3,5756,2006,1671,1649,NA
CF,EST,CF-3,5756,2006,342,1661,NA
CF,EST,CF-3,5756,2006,1272,1656,NA
CF,EST,CF-3,5756,2007,286,1687,NA
CF,PAL,CF-6,CaboFrio-CF,2001,252,292,NA
CF,PAL,CF-6,CaboFrio-CF,2002,341,267,"not sure which is original, but think it is like this"
CF,PAL,CF-6,CaboFrio-CF,2004,371,21,NA
CF,PAL,CF-6,CaboFrio-CF,2006,116,62,NA
CF,PAL,CF-6,CaboFrio-CF,2007,5,2102,NA
CF,PAL,CF-6,CaboFrio-CF,2007,173,87,NA
1-ha,EST,FF-3,5751,1999,U7,154,NA
1-ha,EST,FF-3,5751,1999,U9,137,NA
1-ha,EST,FF-3,5751,2000,100,277,NA
1-ha,EST,FF-3,5751,2002,179,246,NA
10-ha,EST,FF-6,5752,2000,214=305,214,NA
10-ha,EST,FF-6,5752,2000,186,280,NA
10-ha,EST,FF-6,5752,2001,196,552,NA
10-ha,EST,FF-6,5752,2001,251,556,NA
10-ha,EST,FF-6,5752,2001,308,585,NA
CF,DIM,CF-4,Dimona-CF,2001,77,108,NA
CF,DIM,CF-4,Dimona-CF,2001,142,122,NA
CF,DIM,CF-4,Dimona-CF,2001,15,106,NA
CF,DIM,CF-4,Dimona-CF,2001,12,167,NA
CF,DIM,CF-4,Dimona-CF,2006,176,184,NA
CF,DIM,CF-4,Dimona-CF,2006,176,184,NA
CF,EST,CF-1,Florestal-CF,2000,480,904,NA
CF,EST,CF-1,Florestal-CF,2000,435,930,NA
CF,EST,CF-1,Florestal-CF,2001,19,1036,NA
CF,EST,CF-1,Florestal-CF,2001,277,1004,NA
CF,EST,CF-1,Florestal-CF,2001,608,1077,NA
CF,EST,CF-1,Florestal-CF,2002,424,1118,NA
CF,EST,CF-1,Florestal-CF,2002,920,1442,NA
CF,EST,CF-1,Florestal-CF,2006,257,1273,NA
CF,EST,CF-1,Florestal-CF,2006,1027,1257,NA
CF,EST,CF-1,Florestal-CF,2006,257,1273,NA
CF,EST,CF-1,Florestal-CF,2006,1027,1257,NA
CF,EST,CF-1,Florestal-CF,2007,48,1294,NA
CF,EST,CF-1,Florestal-CF,2007,159,1581,NA
CF,EST,CF-1,Florestal-CF,2007,121,1570,NA
CF,PAL,CF-5,PortoAlegre-CF,2001,103,295,NA
CF,PAL,CF-5,PortoAlegre-CF,2001,122,263,NA
CF,PAL,CF-5,PortoAlegre-CF,2001,11,287,NA
CF,PAL,CF-5,PortoAlegre-CF,2004,43,224,NA
CF,PAL,CF-5,PortoAlegre-CF,2006,204,42,NA
CF,PAL,CF-5,PortoAlegre-CF,2006,116,62,NA
1-ha,PAL,FF-4,5753,2002,43,400,NA
1-ha,PAL,FF-4,5753,2004,21,371,NA
10-ha,PortoAlegre,FF-7,5754,2000,548,611,NA
10-ha,PortoAlegre,FF-7,5754,2000,170,625,NA
10-ha,PortoAlegre,FF-7,5754,2000,572,909,NA
10-ha,PortoAlegre,FF-7,5754,2001,316,1383,NA
10-ha,PortoAlegre,FF-7,5754,2001,608,1389,NA
10-ha,PortoAlegre,FF-7,5754,2001,323,1390,NA
10-ha,PortoAlegre,FF-7,5754,2001,300,1391,NA
10-ha,PortoAlegre,FF-7,5754,2001,632,1396,NA
10-ha,PortoAlegre,FF-7,5754,2001,297,1398,NA
10-ha,PortoAlegre,FF-7,5754,2002,501,632,NA
10-ha,PortoAlegre,FF-7,5754,2002,57,928,NA
10-ha,PortoAlegre,FF-7,5754,2002,120,984,NA
10-ha,PortoAlegre,FF-7,5754,2002,23,993,NA
10-ha,PortoAlegre,FF-7,5754,2002,27,1305,NA
10-ha,PortoAlegre,FF-7,5754,2002,26,1309,NA
10-ha,PortoAlegre,FF-7,5754,2002,22,1354,NA
10-ha,PortoAlegre,FF-7,5754,2003,PVC,24,NA
10-ha,PortoAlegre,FF-7,5754,2003,PVC 71,817,NA
10-ha,PortoAlegre,FF-7,5754,2003,PVC,10,NA
10-ha,PortoAlegre,FF-7,5754,2003,PVC,61,NA
10-ha,PortoAlegre,FF-7,5754,2003,PVC 10,801,NA
10-ha,PortoAlegre,FF-7,5754,2003,321,806,NA
10-ha,PortoAlegre,FF-7,5754,2003,PVC 73,831,NA
10-ha,PortoAlegre,FF-7,5754,2003,PVC 61,832,NA
10-ha,PortoAlegre,FF-7,5754,2003,5,847,NA
10-ha,PortoAlegre,FF-7,5754,2004,PVC 40,705,NA
10-ha,PortoAlegre,FF-7,5754,2004,PVC,746,NA
CF,PAL,CF-5,PortoAlegre-CF,2007,75,305,NA
1-ha,DIM,FF-1,2107,2008,40,365,NA
1-ha,PAL,FF-4,5753,2009,366,371,NA
1-ha,PAL,FF-4,5753,2009,74,412,NA
CF,EST,CF-1,Florestal-CF,2009,174,1912,NA
