PORTO ALEGRE 10 HA ,,,,,LEVANTAMENTO 2006,,,,,,
28,C,6,3,53,,,,,,,
95,C,6,3,129,,,,,,,
217,C,6,1,29,,,,,,,
233,C,6,1,42,,,,,,,
382,C,6,3,70,should be c5,,,,,,
411,C,6,1,26,,,,,,,
438,C,6,1,30,,,,,,,
453,C,6,1,90,,,,,,,
464,C,6,4,65,,,,,,,
653,C,6,2,35,,,,,,,
709,C,6,1,13,,,,,,,
717,C,6,3,42,,,,,,,
728,C,6,2,16,,,,,,,
762,C,6,1,11,,,,,,,
778,C,6,5,106,1 old infl,,,,,,
830,C,6,,,dead,,,,,,
1356,C,6,3,54,,,,,,,
146,C,7,8,115,,,,,,,
175,C,7,2,42,,,,,,,
440,C,7,1,45,,,,,,,
700,C,7,2,53,,,,,,,
715,C,7,2,36,,,,,,,
726,C,7,3,40,,,,,,,
741,C,7,3,42,,,,,,,
744,C,7,3,55,,,,,,,
780,C,7,3,38,actualkly in c8,,,,,,
791,C,7,5,45,,,,,,,
829,C,7,4,125,,,,,,,
1320,C,7,,,dead,,,,,,
51,C,8,3,85,,,,,,,
53,C,8,2,41,,,,,,,
60,C,8,4,71,,,,,,,
62,C,8,5,56,,,,,,,
64,C,8,5,86,,,,,,,
133,C,8,1,14,,,,,,,
141,C,8,3,71,,,,,,,
153,C,8,4,80,,,,,,,
158,C,8,2,16,,,,,,,
162,C,8,4,90,,,,,,,
211,C,8,,,missing,,,,,,
222,C,8,3,40,,,,,,,
441,C,8,2,37,,,,,,,
454,C,8,,,missing,,,,,,
703,C,8,,,missing,,,,,,
710,C,8,1,31,,,,,,,
712,C,8,2,36,,,,,,,
735,C,8,,,missing,,,,,,
739,C,8,3,28,,,,,,,
747,C,8,,,dead,,,,,,
774,C,8,2,30,,,,,,,
775,C,8,,,dead,,,,,,
782,C,8,1,12,,,,,,,
800,C,8,2,14,,,,,,,
870,C,8,,,dead,,,,,,
896,C,8,4,11,,,,,,,
942,C,8,3,30,,,,,,,
986,C,8,1,28,,,,,,,
1000,C,8,3,23,,,,,,,
1323,C,8,1,22,,,,,,,
1349,C,8,2,16,,,,,,,
1350,C,8,1,7,,,,,,,
1351,C,8,1,15,,,,,,,
1357,C,8,1,23,,,,,,,
1359,C,8,1,25,,,,,,,
1360,C,8,1,11,,,,,,,
1369,C,8,3,34,,,,,,,
66,C,9,3,40,,,,,,,
144,C,9,4,75,1 old infl,,,,,,
157,C,9,4,49,,,,,,,
167,C,9,2,26,,,,,,,
185,C,9,,,missing,,,,,,
189,C,9,3,65,,,,,,,
202,C,9,1,10,under fallen trunk,,,,,,
205,C,9,3,39,,,,,,,
225,C,9,3,67,,,,,,,
416,C,9,3,36,,,,,,,
787,C,9,2,10,,,,,,,
817,C,9,3,65,,,,,,,
999,C,9,,,missing,,,,,,
1328,C,9,4,20,,,,,,,
1329,C,9,6,70,,,,,,,
125,C,10,3,45,,,,,,,
228,C,10,4,35,,,,,,,
777,C,10,1,12,,,,,,,
864,C,10,,,dead,,,,,,
865,C,10,,,dead,,,,,,
930,C,10,1,23,,,,,,,
296,D,1,3,30,,,,,,,
298,D,1,2,22,,,,,,,
1333,D,1,,,missing,,,,,,
36,D,2,2,38,,,,,,,
42,D,2,3,50,,,,,,,
49,D,2,1,14,,,,,,,
402,D,2,2,14,,,,,,,
279,D,3,3,50,,,,,,,
635,D,3,1,10,,,,,,,
679,D,3,1,15,,,,,,,
692,D,3,1,15,,,,,,,
8,D,4,4,26,,,,,,,
264,D,4,2,43,,,,,,,
292,D,4,3,30,,,,,,,
311,D,4,3,65,,,,,,,
335,D,4,2,41,,,,,,,
337,D,4,3,40,,,,,,,
338,D,4,3,36,,,,,,,
383,D,4,2,41,,,,,,,
398,D,4,1,12,under fallen trunk,,,,,,
801,D,4,3,33,,,,,,,
25,D,5,1,35,,,,,,,
30,D,5,2,37,,,,,,,
33,D,5,4,60,,,,,,,
258,D,5,2,47,,,,,,,
259,D,5,1,46,,,,,,,
275,D,5,1,20,,,,,,,
276,D,5,1,10,,,,,,,
301,D,5,3,45,,,,,,,
308,D,5,,,missing,,,,,,
313,D,5,3,24,,,,,,,
324,D,5,2,20,,,,,,,
329,D,5,3,46,,,,,,,
331,D,5,3,64,,,,,,,
333,D,5,3,53,,,,,,,
385,D,5,1,15,,,,,,,
396,D,5,2,22,,,,,,,
672,D,5,2,30,,,,,,,
687,D,5,2,23,,,,,,,
746,D,5,1,22,,,,,,,
794,D,5,,,dead,,,,,,
796,D,5,,,dead,,,,,,
836,D,5,3,53,,,,,,,
1318,D,5,1,27,,,,,,,
674,D,6,3,40,,,,,,,
676,D,6,3,18,,,,,,,
745,D,6,1,15,,,,,,,
117,D,7,1,39,,,,,,,
127,D,7,2,30,,,,,,,
223,D,7,,,missing,,,,,,
673,D,7,2,20,,,,,,,
681,D,7,4,62,,,,,,,
682,D,7,3,82,,,,,,,
688,D,7,2,23,,,,,,,
694,D,7,4,75,,,,,,,
695,D,7,3,25,,,,,,,
701,D,7,1,25,,,,,,,
702,D,7,1,14,,,,,,,
706,D,7,3,66,,,,,,,
707,D,7,1,34,,,,,,,
711,D,7,1,21,,,,,,,
714,D,7,,,dead,,,,,,
743,D,7,,,missing,,,,,,
748,D,7,1,17,,,,,,,
786,D,7,,,missing,,,,,,
833,D,7,2,37,,,,,,,
834,D,7,4,60,,,,,,,
913,D,7,2,41,,,,,,,
990,D,7,4,42,,,,,,,
1303,D,7,2,17,,,,,,,
1331,D,7,1,22,,,,,,,
1380,D,7,2,20,,,,,,,
181,D,8,1,17,,,,,,,
691,D,8,4,56,,,,,,,
696,D,8,2,86,,,,,,,
750,D,8,1,18,,,,,,,
832,D,8,2,31,,,,,,,
58,D,9,3,45,,,,,,,
72,D,9,2,50,,,,,,,
75,D,9,2,46,,,,,,,
77,D,9,2,60,,,,,,,
206,D,9,3,77,,,,,,,
671,D,9,2,29,,,,,,,
677,D,9,3,36,,,,,,,
680,D,9,,,missing,,,,,,
698,D,9,1,11,,,,,,,
699,D,9,1,62,,,,,,,
720,D,9,2,38,,,,,,,
740,D,9,1,9,,,,,,,
831,D,9,4,59,,,,,,,
97,D,10,2,52,,,,,,,
106,D,10,3,70,,,,,,,
114,D,10,2,38,,,,,,,
123,D,10,3,37,,,,,,,
177,D,10,1,16,,,,,,,
685,D,10,,,missing,,,,,,
792,D,10,1,13,,,,,,,
795,D,10,,,missing,,,,,,
260,E,1,3,15,,,,,,,
271,E,1,2,20,,,,,,,
286,E,1,2,34,,,,,,,
288,E,1,3,46,,,,,,,
303,E,1,1,23,,,,,,,
317,E,1,,,dead,,,,,,
325,E,1,3,38,,,,,,,
326,E,1,2,22,,,,,,,
330,E,1,3,30,,,,,,,
351,E,1,2,18,,,,,,,
355,E,1,3,28,,,,,,,
381,E,1,1,25,,,,,,,
797,E,1,,,missing,,,,,,
923,E,1,3,25,,,,,,,
3,E,2,4,49,,,,,,,
7,E,2,1,40,,,,,,,
310,E,2,1,19,,,,,,,
321,E,2,3,37,,,,,,,
352,E,2,2,26,,,,,,,
353,E,2,1,29,,,,,,,
356,E,2,4,27,,,,,,,
363,E,2,1,10,,,,,,,
367,E,2,4,25,,,,,,,
373,E,2,4,38,,,,,,,
379,E,2,2,20,,,,,,,
664,E,2,,,missing,,,,,,
693,E,2,,,dead,,,,,,
722,E,2,1,17,,,,,,,
732,E,2,3,27,,,,,,,
847,E,2,3,30,,,,,,,
920,E,2,1,9,,,,,,,
938,E,2,2,30,,,,,,,
9,E,3,1,27,,,,,,,
11,E,3,2,58,,,,,,,
15,E,3,1,30,,,,,,,
18,E,3,4,77,,,,,,,
19,E,3,2,75,,,,,,,
21,E,3,2,42,,,,,,,
247,E,3,3,33,,,,,,,
332,E,3,1,17,,,,,,,
343,E,3,5,58,,,,,,,
344,E,3,3,100,,,,,,,
350,E,3,3,37,under branch,,,,,,
361,E,3,4,45,,,,,,,
390,E,3,1,17,,,,,,,
391,E,3,4,32,,,,,,,
622,E,3,2,24,,,,,,,
903,E,3,3,50,,,,,,,
910,E,3,2,33,,,,,,,
925,E,3,1,13,,,,,,,
31,E,4,6,84,1 new infl,,,,,,
289,E,4,8,70,1 old infl,,,,,,
290,E,4,7,110,1 new infl + 1 old infl,,,,,,
340,E,4,1,18,,,,,,,
357,E,4,4,123,1 new infl + 1 old infl,,,,,,
365,E,4,2,90,1 old infl,,,,,,
375,E,4,8,90,2 old infl ,,,,,,
377,E,4,3,80,,,,,,,
378,E,4,,,missing,,,,,,
708,E,4,2,35,,,,,,,
729,E,4,,,dead,,,,,,
733,E,4,,,dead,,,,,,
921,E,4,4,22,,,,,,,
994,E,4,,,dead,,,,,,
1311,E,4,6,77,1 new infl,,,,,,
1313,E,4,4,55,,,,,,,
1319,E,4,3,25,,,,,,,
45,E,5,3,60,,,,,,,
173,E,5,5,29,,,,,,,
174,E,5,1,14,,,,,,,
178,E,5,1,23,,,,,,,
188,E,5,2,33,,,,,,,
192,E,5,,,missing,,,,,,
203,E,5,2,68,,,,,,,
248,E,5,3,43,,,,,,,
254,E,5,2,17,,,,,,,
256,E,5,2,84,1 new infl,,,,,,
263,E,5,1,30,,,,,,,
312,E,5,3,60,1 new infl,,,,,,
327,E,5,4,76,,,,,,,
393,E,5,5,87,,,,,,,
394,E,5,3,42,,,,,,,
397,E,5,3,26,,,,,,,
612,E,5,3,48,,,,,,,
626,E,5,1,26,,,,,,,
731,E,5,2,17,,,,,,,
734,E,5,,,missing,,,,,,
749,E,5,2,20,,,,,,,
765,E,5,1,14,,,,,,,
905,E,5,2,21,,,,,,,
908,E,5,,,dead,,,,,,
914,E,5,,,dead,,,,,,
916,E,5,,,dead,,,,,,
917,E,5,5,66,,,,,,,
937,E,5,3,42,,,,,,,
940,E,5,1,22,,,,,,,
948,E,5,1,21,,,,,,,
1301,E,5,1,64,,,,,,,
1307,E,5,2,22,,,,,,,
1312,E,5,2,50,,,,,,,
34,E,6,2,60,,,,,,,
35,E,6,1,44,,,,,,,
41,E,6,3,43,,,,,,,
43,E,6,2,30,,,,,,,
44,E,6,1,65,,,,,,,
50,E,6,6,54,,,,,,,
84,E,6,1,22,,,,,,,
100,E,6,2,42,,,,,,,
204,E,6,1,43,,,,,,,
236,E,6,3,35,,,,,,,
611,E,6,1,10,,,,,,,
621,E,6,1,26,,,,,,,
630,E,6,1,8,,,,,,,
705,E,6,2,24,,,,,,,
763,E,6,6,59,,,,,,,
912,E,6,1,23,,,,,,,
939,E,6,1,24,,,,,,,
1308,E,6,1,12,,,,,,,
59,E,7,5,40,,,,,,,
63,E,7,3,42,,,,,,,
65,E,7,3,49,,,,,,,
68,E,7,5,56,,,,,,,
69,E,7,2,38,,,,,,,
92,E,7,1,30,,,,,,,
113,E,7,2,35,,,,,,,
128,E,7,2,45,,,,,,,
130,E,7,5,33,,,,,,,
169,E,7,2,62,,,,,,,
243,E,7,1,54,e E6,,,,,,
678,E,7,,,dead,,,,,,
689,E,7,3,38,,,,,,,
751,E,7,2,60,,,,,,,
752,E,7,1,11,,,,,,,
753,E,7,1,7,,,,,,,
754,E,7,1,8,,,,,,,
790,E,7,,,missing,,,,,,
848,E,7,3,13,,,,,,,
906,E,7,4,81,,,,,,,
1327,E,7,1,10,,,,,,,
1335,E,7,2,20,,,,,,,
54,E,8,2,51,,,,,,,
55,E,8,4,78,,,,,,,
56,E,8,2,35,,,,,,,
67,E,8,1,51,,,,,,,
96,E,8,,,missing,,,,,,
108,E,8,1,30,,,,,,,
109,E,8,1,16,,,,,,,
156,E,8,2,41,,,,,,,
187,E,8,5,112,,,,,,,
214,E,8,3,36,,,,,,,
713,E,8,1,12,,,,,,,
727,E,8,1,16,,,,,,,
736,E,8,1,3,,,,,,,
936,E,8,4,59,,,,,,,
74,E,9,2,71,,,,,,,
76,E,9,3,23,under branch,,,,,,
78,E,9,2,29,,,,,,,
79,E,9,3,34,,,,,,,
99,E,9,1,25,,,,,,,
105,E,9,1,33,,,,,,,
119,E,9,3,31,,,,,,,
140,E,9,1,30,,,,,,,
145,E,9,1,61,,,,,,,
150,E,9,2,18,,,,,,,
151,E,9,2,26,,,,,,,
161,E,9,,,dead,,,,,,
163,E,9,1,32,,,,,,,
190,E,9,1,16,,,,,,,
193,E,9,1,30,,,,,,,
198,E,9,1,28,,,,,,,
208,E,9,1,26,,,,,,,
216,E,9,3,30,,,,,,,
226,E,9,1,24,,,,,,,
227,E,9,1,51,,,,,,,
658,E,9,,,missing,,,,,,
670,E,9,,,missing,,,,,,
690,E,9,2,33,,,,,,,
719,E,9,1,10,,,,,,,
730,E,9,,,dead,,,,,,
737,E,9,1,8,,,,,,,
789,E,9,2,20,,,,,,,
907,E,9,,,dead,,,,,,
911,E,9,1,13,,,,,,,
915,E,9,1,12,,,,,,,
919,E,9,,,dead,,,,,,
922,E,9,1,6,,,,,,,
935,E,9,2,20,,,,,,,
941,E,9,1,17,,,,,,,
1315,E,9,1,11,,,,,,,
80,E,10,5,56,,,,,,,
82,E,10,2,35,,,,,,,
194,E,10,,,dead,,,,,,
644,E,10,3,74,,,,,,,
837,E,10,1,15,,,,,,,
838,E,10,,,dead,,,,,,
839,E,10,2,28,,,,,,,
841,E,10,2,25,,,,,,,
,A,1,,,trefall ,,,,,,
,A,3,,,"dead, not on list",,,,,,
832,A,4,1,9,could be one of missing,,,,,,
829,A,5,1,16,could be one of missing,,,,,,
830,A,5,2,28,could be one of missing,,,,,,
831,A,5,2,22,could be one of missing,,,,,,
814,A,8,2,22,"under branch, must have lost tag",,,,,,
,A,8,,,lots of small branchfalls in plot,,,,,,
816,A,8,1,7,could be one of missing,,,,,,
813,A,9,1,20,ULY?,,,,,,
860,A,9,1,8,sdlg,,,,,,
834,B,4,1,7,sdlg,,,,,,
833,B,4,1,6,sdlg,,,,,,
828,B,5,3,65,could be one of missing,,,,,,
,B,6,,,horrible treefall in plot,,,,,,
,B,7,,,"horrible treefall in plot, can barely make it in",,,,,,
825,B,7,3,54,must be one of missing,,,,,,
817,B,7,2,43,", must have lost tag",,,,,,
818,B,7,2,50,"under treefall , must have lost tag",,,,,,
819,B,8,1,10,must be one of missing,,,,,,
820,B,8,3,70,must be one of missing,,,,,,
821,B,8,1,10,must be one of missing,,,,,,
1366,B,8,2,22,not on list,,,,,,
746,C,5,1,20,not on list,,,,,,
826,C,5,1,8,sdlg,,,,,,
827,C,5,1,12,sdlg,,,,,,
824,C,7,1,29,ULY?,,,,,,
,C,7,,,plot is 50% treefall,,,,,,
823,C,7,2,39,ULY?,,,,,,
859,C,9,1,8,sdlg,,,,,,
836,D,1,3,30,could be 1333,,,,,,
318,D,5,2,24,not on list. must be313,,,,,,
822,D,7,3,29,could be one of missing,,,,,,
,D,7,,,treefall in plot,,,,,,
1387,D,7,2,33,could be one of missing,,,,,,
812,D,9,1,11,could be 680?,,,,,,
810,D,10,1,10,sdlg,,,,,,
835,E,4,1,10,could be 378,,,,,,
764,E,5,1,16,not on list,,,,,,
46,E,6,3,53,pvc stake not on list,,,,,,
98,E,8,4,92,not on list. must be96,,,,,,
811,E,9,2,38,could be one of missing,,,,,,
858,E,9,1,15,could be one of missing,,,,,,