plot,habitat,tag_number,row,column,year,shts,ht,infl,code,duplicate_tag
2206,10-ha,331,C,10,2006,6,105,NA,2x in field,NA
2206,10-ha,334,E,9,2006,3,25,NA,2x in field,NA
5750,CF,1401,H,10,2007,NA,NA,NA,2x in field,duplicate tag number
5751,1-ha,91,D,6,2007,2,75,NA,2x in field,NA
5752,10-ha,768,C,9,2006,3,45,NA,2x in field,NA
5756,CF,29,E,2,2006,3,50,NA,2x in field,NA
CaboFrio-CF,CF,194,A,8,2007,3,42,NA,2x in field,duplicate tag number
CaboFrio-CF,CF,194,C,10,2007,2,39,NA,2x in field,duplicate tag number
PortoAlegre-CF,CF,284,C,10,2007,1,8,NA,2x in field,NA
5750,CF,101,D,6,2004,NA,0,0,dead and not on list,NA
5752,10-ha,460,B,6,2001,NA,NA,NA,dead and not on list,NA
5756,CF,7,A,8,2004,NA,NA,NA,dead and not on list,NA
5756,CF,983,A,7,2004,NA,NA,NA,dead and not on list,NA
Florestal-CF,CF,106,B,4,1999,NA,NA,NA,dead and not on list,NA
Florestal-CF,CF,187,A,9,1999,NA,NA,NA,dead and not on list,NA
Florestal-CF,CF,277,D,3,2004,NA,NA,NA,dead and not on list,NA
2107,1-ha,318,E,1,2008,2,30,NA,new plant in plot,NA
2107,1-ha,383,A,9,2008,3,43,NA,new plant in plot,NA
2107,1-ha,386,D,10,2008,4,35,NA,new plant in plot,NA
2107,1-ha,399,B,10,2008,2,22,NA,new plant in plot,NA
2107,1-ha,400,B,10,2008,2,41,NA,new plant in plot,NA
2108,1-ha,338,E,10,2008,7,42,NA,new plant in plot,NA
2108,1-ha,361,B,1,2008,2,11,NA,new plant in plot,NA
5750,CF,2028,D,6,2008,2,61,NA,new plant in plot,NA
5750,CF,2032,A,8,2008,3,51,NA,new plant in plot,NA
5750,CF,2034,A,8,2008,2,30,NA,new plant in plot,NA
5750,CF,2042,I,6,2008,4,22,NA,new plant in plot,NA
5750,CF,2051,C,6,2008,1,7,NA,new plant in plot,NA
5750,CF,2308,J,6,2008,1,13,NA,new plant in plot,NA
5750,CF,2309,J,6,2008,2,10,NA,new plant in plot,NA
5751,1-ha,154,C,1,2008,NA,NA,NA,new plant in plot,NA
5751,1-ha,373,E,1,2008,2,17,NA,new plant in plot,NA
5751,1-ha,394,E,6,2008,9,226,NA,new plant in plot,NA
5756,CF,1688,E,2,2008,4,63,NA,new plant in plot,NA
5756,CF,1690,E,1,2008,3,44,NA,new plant in plot,NA
5756,CF,1691,E,1,2008,3,33,NA,new plant in plot,NA
5756,CF,1693,E,2,2008,2,47,NA,new plant in plot,NA
5756,CF,1694,E,2,2008,3,18,NA,new plant in plot,NA
5756,CF,1699,E,2,2008,1,22,NA,new plant in plot,NA
5756,CF,1709,E,1,2008,3,22,NA,new plant in plot,NA
5756,CF,1722,E,1,2008,6,55,NA,new plant in plot,NA
5756,CF,1723,E,1,2008,1,16,NA,new plant in plot,NA
5756,CF,1724,E,1,2008,7,50,NA,new plant in plot,NA
5756,CF,1725,E,1,2008,2,19,NA,new plant in plot,NA
5756,CF,1750,E,7,2008,4,70,NA,new plant in plot,NA
5756,CF,1755,E,3,2008,3,23,NA,new plant in plot,NA
5756,CF,1756,E,7,2008,3,50,NA,new plant in plot,NA
5756,CF,1757,E,7,2008,1,30,NA,new plant in plot,NA
5756,CF,1758,E,10,2008,2,30,NA,new plant in plot,NA
5756,CF,1759,E,10,2008,3,60,NA,new plant in plot,NA
5756,CF,1766,E,6,2008,4,53,NA,new plant in plot,NA
5756,CF,1767,E,6,2008,3,54,NA,new plant in plot,NA
5756,CF,1768,E,6,2008,4,88,NA,new plant in plot,NA
5756,CF,1769,E,6,2008,3,91,NA,new plant in plot,NA
5756,CF,1770,E,6,2008,3,43,NA,new plant in plot,NA
5756,CF,1771,E,7,2008,4,40,NA,new plant in plot,NA
5756,CF,1775,E,6,2008,4,60,NA,new plant in plot,NA
5756,CF,1780,E,10,2008,3,29,NA,new plant in plot,NA
5756,CF,1794,E,3,2008,5,45,NA,new plant in plot,NA
5756,CF,2201,E,10,2008,2,25,NA,new plant in plot,NA
5756,CF,2202,E,10,2008,1,11,NA,new plant in plot,NA
5756,CF,2203,E,10,2008,3,60,NA,new plant in plot,NA
5756,CF,2204,E,10,2008,2,30,NA,new plant in plot,NA
5756,CF,2205,E,10,2008,3,39,NA,new plant in plot,NA
5756,CF,2206,D,10,2008,2,50,NA,new plant in plot,NA
5756,CF,2207,D,10,2008,2,28,NA,new plant in plot,NA
5756,CF,2214,E,4,2009,3,85,NA,new plant in plot,NA
5756,CF,2228,E,9,2009,2,30,NA,new plant in plot,NA
5756,CF,2231,C,10,2008,4,33,NA,new plant in plot,NA
5756,CF,2232,B,10,2009,1,15,NA,new plant in plot,NA
5756,CF,2238,B,10,2009,2,18,NA,new plant in plot,NA
5756,CF,2239,C,10,2009,3,24,NA,new plant in plot,NA
5756,CF,2241,A,10,2009,2,16,NA,new plant in plot,NA
5756,CF,2244,C,10,2009,6,40,NA,new plant in plot,NA
5756,CF,2288,E,6,2009,1,37,NA,new plant in plot,NA
5756,CF,2292,E,8,2009,1,26,NA,new plant in plot,NA
CaboFrio-CF,CF,2108,C,1,2008,4,77,NA,new plant in plot,NA
CaboFrio-CF,CF,2110,D,1,2008,4,90,1,new plant in plot,NA
CaboFrio-CF,CF,2112,B,1,2008,3,25,NA,new plant in plot,NA
CaboFrio-CF,CF,2113,B,1,2008,1,19,NA,new plant in plot,NA
CaboFrio-CF,CF,2117,B,1,2008,1,20,NA,new plant in plot,NA
CaboFrio-CF,CF,2125,D,1,2008,4,79,NA,new plant in plot,NA
CaboFrio-CF,CF,2126,A,1,2008,3,30,NA,new plant in plot,NA
CaboFrio-CF,CF,2127,A,1,2008,2,40,NA,new plant in plot,NA
CaboFrio-CF,CF,2128,A,1,2008,1,17,NA,new plant in plot,NA
CaboFrio-CF,CF,2136,A,4,2009,3,13,NA,new plant in plot,NA
Florestal-CF,CF,1585,A,4,2008,6,84,NA,new plant in plot,NA
Florestal-CF,CF,1588,A,2,2008,2,35,NA,new plant in plot,NA
Florestal-CF,CF,1590,A,3,2008,3,33,NA,new plant in plot,NA
Florestal-CF,CF,1932,A,5,2008,4,59,NA,new plant in plot,NA
Florestal-CF,CF,1955,A,8,2008,2,26,NA,new plant in plot,NA
Florestal-CF,CF,1956,A,8,2008,3,57,NA,new plant in plot,NA
PortoAlegre-CF,CF,245,E,3,2009,1,6,NA,new plant in plot,NA
PortoAlegre-CF,CF,250,E,3,2009,3,72,NA,new plant in plot,NA
PortoAlegre-CF,CF,251,E,2,2009,1,30,NA,new plant in plot,NA
PortoAlegre-CF,CF,271,E,1,2009,1,31,NA,new plant in plot,NA
PortoAlegre-CF,CF,285,E,2,2009,1,12,NA,new plant in plot,NA
PortoAlegre-CF,CF,306,E,3,2009,1,14,NA,new plant in plot,NA
PortoAlegre-CF,CF,322,E,3,2009,4,80,NA,new plant in plot,NA
PortoAlegre-CF,CF,346,E,1,2009,2,26,NA,new plant in plot,NA
PortoAlegre-CF,CF,347,E,2,2009,6,52,NA,new plant in plot,NA
PortoAlegre-CF,CF,350,C,10,2008,5,81,NA,new plant in plot,NA
2107,1-ha,225,D,10,2000,1,28,0,no tag,NA
2107,1-ha,279,C,5,2004,2,27,0,no tag,NA
2107,1-ha,286,B,5,2004,3,50,0,no tag,NA
2107,1-ha,316,B,9,2004,3,30,0,no tag,NA
2108,1-ha,245,E,7,2004,4,75,0,no tag,NA
2108,1-ha,248,C,7,2005,1,25,0,no tag,NA
2108,1-ha,253,E,10,2005,2,22,0,no tag,NA
2108,1-ha,256,E,10,2005,2,16,0,no tag,NA
2108,1-ha,257,E,10,2005,1,17,0,no tag,NA
2108,1-ha,258,E,10,2005,3,36,0,no tag,NA
2108,1-ha,259,E,10,2005,3,21,0,no tag,NA
2108,1-ha,264,E,3,2005,2,19,0,no tag,NA
2108,1-ha,265,D,3,2005,3,22,0,no tag,NA
2108,1-ha,266,D,3,2005,3,26,0,no tag,NA
2108,1-ha,266,D,3,2009,1,28,NA,no tag,NA
2108,1-ha,267,C,3,2005,4,30,0,no tag,NA
2108,1-ha,311,C,8,2004,1,26,0,no tag,NA
2108,1-ha,320,B,5,2004,1,15,0,no tag,NA
2108,1-ha,324,D,3,2004,1,17,0,no tag,NA
2206,10-ha,173,B,6,2004,2,23,0,no tag,NA
2206,10-ha,187,B,10,2005,3,23,0,no tag,NA
2206,10-ha,193,A,6,2003,3,27,0,no tag,NA
2206,10-ha,205,B,3,2004,2,45,0,no tag,NA
2206,10-ha,215,E,9,2003,1,11,0,no tag,NA
2206,10-ha,220,E,2,2005,1,19,0,no tag,NA
2206,10-ha,221,D,2,2005,1,24,0,no tag,NA
2206,10-ha,224,B,4,2004,3,26,0,no tag,NA
2206,10-ha,232,B,10,2005,3,30,0,no tag,NA
2206,10-ha,234,B,10,2005,2,28,0,no tag,NA
2206,10-ha,239,D,10,2005,2,30,0,no tag,NA
2206,10-ha,242,E,9,2003,2,28,0,no tag,NA
2206,10-ha,243,C,9,2005,1,17,0,no tag,NA
2206,10-ha,247,B,9,2005,1,25,0,no tag,NA
2206,10-ha,248,B,8,2005,3,27,0,no tag,NA
2206,10-ha,249,A,8,2005,4,28,0,no tag,NA
2206,10-ha,250,B,5,2004,4,27,0,no tag,NA
2206,10-ha,251,A,4,2004,4,117,0,no tag,NA
2206,10-ha,274,A,9,2005,2,28,0,no tag,NA
2206,10-ha,276,A,5,2005,1,20,0,no tag,NA
2206,10-ha,285,B,5,2005,1,19,0,no tag,NA
2206,10-ha,298,C,4,2005,2,18,0,no tag,NA
5750,CF,716,C,7,2001,2,20,0,no tag,NA
5750,CF,725,J,8,2002,1,23,0,no tag,NA
5750,CF,735,E,6,2002,3,18,0,no tag,NA
5750,CF,946,G,9,2004,4,83,0,no tag,NA
5750,CF,958,H,9,2004,1,22,0,no tag,NA
5750,CF,967,E,8,2004,2,16,0,no tag,NA
5750,CF,970,C,7,2004,NA,0,0,no tag,NA
5750,CF,1303,C,8,2004,4,81,0,no tag,NA
5750,CF,1310,G,8,2004,2,18,0,no tag,NA
5750,CF,1319,E,8,2004,2,26,0,no tag,NA
5750,CF,1323,J,8,2004,1,11,0,no tag,NA
5750,CF,1326,J,8,2004,2,24,0,no tag,NA
5750,CF,1342,A,7,2005,3,16,0,no tag,NA
5750,CF,1343,B,7,2005,1,13,0,no tag,NA
5750,CF,1345,B,10,2005,2,13,0,no tag,NA
5750,CF,1359,D,6,2005,1,19,0,no tag,NA
5750,CF,1360,E,6,2005,3,9,0,no tag,NA
5750,CF,1361,E,8,2005,1,15,0,no tag,NA
5750,CF,1364,F,7,2005,1,18,0,no tag,NA
5750,CF,1365,I,6,2004,3,45,0,no tag,NA
5750,CF,1368,E,6,2004,2,19,0,no tag,NA
5750,CF,1374,G,9,2005,1,15,0,no tag,NA
5750,CF,1377,G,9,2005,1,15,0,no tag,NA
5750,CF,1379,H,9,2005,3,40,0,no tag,NA
5750,CF,1381,H,8,2005,2,23,0,no tag,NA
5750,CF,1385,J,9,2005,3,23,0,no tag,NA
5750,CF,1390,I,9,2005,2,21,0,no tag,NA
5750,CF,1393,J,10,2005,1,16,0,no tag,NA
5750,CF,2005,G,9,2007,1,13,NA,no tag,NA
5750,CF,2009,G,9,2007,2,34,NA,no tag,NA
5750,CF,2010,G,9,2007,1,19,NA,no tag,NA
5750,CF,2014,G,9,2007,1,14,NA,no tag,NA
5750,CF,2021,I,10,2007,2,22,NA,no tag,NA
5751,1-ha,253,A,8,2004,1,54,0,no tag,NA
5751,1-ha,256,A,8,2004,1,16,0,no tag,NA
5751,1-ha,263,E,7,2000,2,5,0,no tag,NA
5751,1-ha,304,C,7,2002,4,30,0,no tag,NA
5751,1-ha,331,E,2,2005,4,102,0,no tag,NA
5751,1-ha,342,C,8,2005,3,12,0,no tag,NA
5751,1-ha,352,C,5,2002,7,17,0,no tag,NA
5751,1-ha,356,C,6,2004,1,13,0,no tag,NA
5751,1-ha,357,A,8,2004,1,33,0,no tag,NA
5751,1-ha,386,E,1,2008,1,18,NA,no tag,NA
5751,1-ha,387,E,1,2008,1,12,NA,no tag,NA
5751,1-ha,399,D,1,2004,2,36,0,no tag,NA
5752,10-ha,290,B,5,2002,NA,NA,0,no tag,NA
5752,10-ha,397,D,9,2001,3,68,0,no tag,NA
5752,10-ha,433,B,5,2000,2,51,0,no tag,NA
5752,10-ha,521,D,7,2000,1,18,0,no tag,NA
5752,10-ha,532,B,6,2001,2,34,0,no tag,NA
5752,10-ha,546,C,3,2001,2,24,0,no tag,NA
5752,10-ha,550,A,9,2001,2,34,0,no tag,NA
5752,10-ha,591,A,4,2003,2,1,0,no tag,NA
5752,10-ha,605,A,1,2004,1,15,0,no tag,NA
5752,10-ha,607,D,7,2003,2,28,0,no tag,NA
5752,10-ha,617,D,1,2004,2,17,0,no tag,NA
5752,10-ha,634,A,9,2002,3,42,0,no tag,NA
5752,10-ha,648,D,7,2003,1,15,0,no tag,NA
5752,10-ha,670,B,2,2004,1,25,0,no tag,NA
5752,10-ha,673,B,4,2004,2,24,0,no tag,NA
5752,10-ha,675,C,4,2004,1,18,0,no tag,NA
5752,10-ha,676,D,2,2004,1,12,0,no tag,NA
5752,10-ha,677,D,7,2003,3,22,0,no tag,NA
5752,10-ha,688,E,2,2004,5,42,0,no tag,NA
5752,10-ha,698,D,10,2005,1,10,0,no tag,NA
5752,10-ha,708,C,5,2004,2,16,0,no tag,NA
5752,10-ha,709,C,5,2004,3,63,0,no tag,NA
5752,10-ha,712,D,5,2005,3,21,0,no tag,NA
5752,10-ha,717,B,6,2004,3,41,0,no tag,NA
5752,10-ha,723,D,8,2004,2,26,0,no tag,NA
5752,10-ha,724,C,8,2004,2,15,0,no tag,NA
5752,10-ha,726,B,9,2004,3,48,0,no tag,NA
5752,10-ha,728,A,9,2004,3,39,0,no tag,NA
5752,10-ha,735,D,5,2004,2,6,0,no tag,NA
5752,10-ha,744,A,8,2005,2,38,0,no tag,NA
5752,10-ha,748,B,4,2005,1,17,0,no tag,NA
5752,10-ha,749,B,4,2005,1,23,0,no tag,NA
5752,10-ha,750,B,4,2005,1,15,0,no tag,NA
5752,10-ha,751,B,4,2005,1,14,0,no tag,NA
5752,10-ha,754,B,4,2005,1,17,0,no tag,NA
5752,10-ha,755,B,4,2005,1,19,0,no tag,NA
5752,10-ha,794,A,2,2005,1,14,0,no tag,NA
5752,10-ha,795,A,2,2005,1,17,0,no tag,NA
5752,10-ha,797,A,3,2005,1,16,0,no tag,NA
5753,1-ha,267,C,3,2000,3,26,0,no tag,NA
5753,1-ha,308,E,9,2001,1,28,0,no tag,NA
5753,1-ha,317,E,9,2001,2,35,0,no tag,NA
5753,1-ha,322,E,2,2003,2,50,0,no tag,NA
5753,1-ha,329,E,9,2000,1,30,0,no tag,NA
5753,1-ha,332,E,9,2001,1,17,0,no tag,NA
5753,1-ha,336,C,10,2000,2,50,0,no tag,NA
5753,1-ha,340,B,2,2001,1,17,0,no tag,NA
5753,1-ha,344,E,9,2001,1,25,0,no tag,NA
5753,1-ha,348,B,4,2005,1,15,0,no tag,NA
5754,10-ha,10,D,4,2003,2,54,0,no tag,NA
5754,10-ha,24,B,5,2003,4,70,0,no tag,NA
5754,10-ha,61,D,8,2003,5,85,0,no tag,NA
5754,10-ha,606,B,4,2000,1,17,0,no tag,NA
5754,10-ha,610,B,3,2000,2,24,0,no tag,NA
5754,10-ha,614,B,3,2000,1,18,0,no tag,NA
5754,10-ha,618,B,4,2000,1,20,0,no tag,NA
5754,10-ha,638,B,3,2000,2,20,0,no tag,NA
5754,10-ha,651,B,3,2000,1,21,0,no tag,NA
5754,10-ha,654,B,4,2000,1,20,0,no tag,NA
5754,10-ha,655,B,3,2000,1,30,0,no tag,NA
5754,10-ha,666,B,3,2000,1,21,0,no tag,NA
5754,10-ha,667,B,3,2000,1,14,0,no tag,NA
5754,10-ha,673,D,7,2000,1,18,0,no tag,NA
5754,10-ha,701,D,7,2002,3,28,0,no tag,NA
5754,10-ha,702,D,7,2002,3,28,0,no tag,NA
5754,10-ha,706,D,7,2002,2,39,0,no tag,NA
5754,10-ha,707,D,7,2002,3,39,0,no tag,NA
5754,10-ha,708,E,4,2005,2,68,0,no tag,NA
5754,10-ha,711,D,7,2002,3,35,0,no tag,NA
5754,10-ha,715,C,7,2004,1,12,0,no tag,NA
5754,10-ha,720,D,9,2004,3,30,0,no tag,NA
5754,10-ha,721,B,3,2004,3,55,0,no tag,NA
5754,10-ha,722,E,2,2004,2,14,0,no tag,NA
5754,10-ha,726,C,7,2004,1,17,0,no tag,NA
5754,10-ha,728,C,6,2004,1,17,0,no tag,NA
5754,10-ha,731,E,5,2004,3,20,0,no tag,NA
5754,10-ha,732,E,2,2004,2,26,0,no tag,NA
5754,10-ha,735,C,8,2004,3,48,0,no tag,NA
5754,10-ha,739,C,8,2004,3,21,0,no tag,NA
5754,10-ha,741,C,7,2004,1,53,0,no tag,NA
5754,10-ha,742,B,6,2004,2,21,0,no tag,NA
5754,10-ha,744,C,7,2004,1,18,0,no tag,NA
5754,10-ha,745,D,6,2004,1,17,0,no tag,NA
5754,10-ha,747,C,8,2004,1,19,0,no tag,NA
5754,10-ha,749,E,5,2004,2,13,0,no tag,NA
5754,10-ha,750,D,8,2005,1,37,0,no tag,NA
5754,10-ha,752,E,7,2005,2,19,0,no tag,NA
5754,10-ha,755,B,6,2005,3,22,0,no tag,NA
5754,10-ha,757,B,7,2005,2,33,0,no tag,NA
5754,10-ha,758,A,7,2005,2,102,0,no tag,NA
5754,10-ha,759,A,7,2005,3,94,0,no tag,NA
5754,10-ha,761,B,6,2005,1,30,0,no tag,NA
5754,10-ha,766,B,5,2005,1,29,0,no tag,NA
5754,10-ha,767,B,5,2005,1,18,0,no tag,NA
5754,10-ha,768,B,5,2005,4,49,0,no tag,NA
5754,10-ha,769,A,5,2005,3,44,0,no tag,NA
5754,10-ha,786,D,7,2002,4,22,0,no tag,NA
5754,10-ha,810,A,5,2003,2,25,0,no tag,duplicate tag number
5754,10-ha,811,A,5,2003,3,28,0,no tag,duplicate tag number
5754,10-ha,826,B,7,2003,3,57,1,no tag,duplicate tag number
5754,10-ha,831,D,9,2003,3,74,0,no tag,duplicate tag number
5754,10-ha,832,D,8,2003,5,85,0,no tag,duplicate tag number
5754,10-ha,833,D,7,2003,5,39,0,no tag,duplicate tag number
5754,10-ha,834,D,7,2003,2,25,0,no tag,duplicate tag number
5754,10-ha,836,D,5,2004,3,75,0,no tag,duplicate tag number
5754,10-ha,842,B,4,2004,1,11,0,no tag,NA
5754,10-ha,845,B,5,2004,2,73,0,no tag,NA
5754,10-ha,849,B,6,2004,5,54,0,no tag,NA
