plot,habitat,tag_number,row,column,year,shts,ht,infl,code,duplicate_tag
5751,1-ha,428,C,1,2006,2,24,NA,ULY,NA
5751,1-ha,429,D,1,2006,2,42,NA,ULY,NA
5752,10-ha,411,C,5,2000,2,20,0,ULY,NA
5752,10-ha,431,B,4,2000,1,20,0,ULY,NA
5752,10-ha,432,D,5,2000,1,16,0,ULY,NA
5752,10-ha,441,D,4,2000,1,18,0,ULY,NA
5752,10-ha,445,D,1,2000,1,15,0,ULY,NA
5752,10-ha,457,D,10,2000,2,31,0,ULY,NA
5752,10-ha,462,D,10,2000,1,8,0,ULY,NA
5752,10-ha,466,A,9,2000,1,27,0,ULY,NA
5752,10-ha,468,C,9,2000,1,8,0,ULY,NA
5752,10-ha,470,A,9,2000,1,17,0,ULY,NA
5752,10-ha,475,E,9,2000,2,26,0,ULY,NA
5752,10-ha,476,A,9,2000,1,20,0,ULY,NA
5752,10-ha,477,E,5,2000,1,18,0,ULY,NA
5752,10-ha,486,C,10,2000,1,14,0,ULY,NA
5752,10-ha,494,B,9,2000,1,14,0,ULY,NA
5752,10-ha,497,C,9,2000,1,14,0,ULY,NA
5752,10-ha,498,D,10,2000,2,22,0,ULY,NA
5752,10-ha,501,B,8,2000,3,33,0,ULY,NA
5752,10-ha,502,B,8,2000,3,36,0,ULY,NA
5752,10-ha,509,B,8,2000,1,51,0,ULY,NA
5752,10-ha,510,B,8,2000,1,45,0,ULY,NA
5752,10-ha,542,D,10,2001,2,22,0,ULY,NA
5752,10-ha,558,A,8,2002,1,15,0,ULY,NA
5752,10-ha,575,C,9,2002,1,24,0,ULY,NA
5752,10-ha,577,A,1,2002,2,23,0,ULY,NA
5752,10-ha,579,C,1,2004,1,12,0,ULY,NA
5752,10-ha,582,B,6,2002,2,28,0,ULY,NA
5752,10-ha,587,C,7,2002,1,20,0,ULY,NA
5752,10-ha,601,A,4,2002,1,18,0,ULY,NA
5752,10-ha,603,A,4,2002,1,24,0,ULY,NA
5752,10-ha,604,B,3,2002,1,15,0,ULY,NA
5752,10-ha,606,B,4,2002,1,21,0,ULY,NA
5752,10-ha,609,A,7,2002,1,20,0,ULY,NA
5752,10-ha,615,A,4,2002,1,15,0,ULY,NA
5752,10-ha,616,A,8,2002,2,27,0,ULY,NA
5752,10-ha,625,E,5,2002,1,15,0,ULY,NA
5752,10-ha,628,B,3,2002,2,16,0,ULY,NA
5752,10-ha,638,C,7,2002,5,39,0,ULY,NA
5752,10-ha,641,B,3,2002,3,24,0,ULY,NA
5752,10-ha,647,C,9,2002,2,21,0,ULY,NA
5752,10-ha,650,B,2,2002,1,13,0,ULY,NA
5752,10-ha,674,C,4,2004,1,15,0,ULY,NA
5752,10-ha,706,B,5,2004,2,16,0,ULY,NA
5752,10-ha,771,B,9,2006,1,24,NA,ULY,NA
5752,10-ha,777,A,6,2006,2,47,NA,ULY,NA
5752,10-ha,801,C,5,2006,2,14,NA,ULY,NA
5752,10-ha,805,E,2,2006,1,23,NA,ULY,NA
5752,10-ha,807,D,1,2006,2,31,NA,ULY,NA
5752,10-ha,808,D,1,2006,2,18,NA,ULY,NA
5752,10-ha,816,B,5,2006,1,11,NA,ULY,NA
5752,10-ha,818,B,5,2006,1,17,NA,ULY,NA
5752,10-ha,830,A,6,2006,2,25,NA,ULY,NA
5752,10-ha,846,C,4,2006,1,10,NA,ULY,NA
5752,10-ha,847,E,2,2006,1,18,NA,ULY,NA
5752,10-ha,848,E,1,2006,1,54,NA,ULY,NA
5753,1-ha,253,E,3,2000,2,20,0,ULY,NA
5753,1-ha,265,C,2,2000,2,58,0,ULY,NA
5753,1-ha,268,A,8,2000,1,13,0,ULY,NA
5753,1-ha,272,C,3,2000,2,32,0,ULY,NA
5753,1-ha,295,C,1,2000,1,18,0,ULY,NA
5753,1-ha,304,A,8,2000,1,21,0,ULY,NA
5753,1-ha,305,C,2,2000,2,22,0,ULY,NA
5753,1-ha,306,C,4,2000,2,66,0,ULY,NA
5753,1-ha,313,B,8,2002,1,21,0,ULY,NA
5753,1-ha,318,C,2,2002,2,30,0,ULY,NA
5753,1-ha,321,C,3,2002,4,69,0,ULY,NA
5753,1-ha,324,C,7,2001,2,18,0,ULY,NA
5753,1-ha,337,C,2,2002,3,31,0,ULY,NA
5753,1-ha,358,C,3,2004,2,17,0,ULY,NA
5753,1-ha,362,D,3,2004,1,14,0,ULY,NA
5753,1-ha,363,E,10,2004,2,111,NA,ULY,NA
5753,1-ha,389,C,6,2008,6,20,NA,ULY,NA
5753,1-ha,402,B,3,2006,3,19,NA,ULY,NA
5753,1-ha,411,A,10,2006,3,39,NA,ULY,NA
5753,1-ha,469,D,4,2009,1,35,NA,ULY,NA
5754,10-ha,601,A,3,2000,1,17,0,ULY,NA
5754,10-ha,603,B,1,2000,1,16,0,ULY,NA
5754,10-ha,604,B,5,2000,1,51,0,ULY,NA
5754,10-ha,608,C,3,2003,3,43,0,ULY,NA
5754,10-ha,636,B,4,2000,1,20,0,ULY,NA
5754,10-ha,639,B,10,2000,2,16,0,ULY,NA
5754,10-ha,648,A,10,2000,1,16,0,ULY,NA
5754,10-ha,656,B,1,2000,2,24,0,ULY,NA
5754,10-ha,661,B,8,2000,3,29,0,ULY,NA
5754,10-ha,691,D,8,2000,2,26,0,ULY,NA
5754,10-ha,696,D,8,2003,4,81,0,ULY,NA
5754,10-ha,703,C,8,2002,1,18,0,ULY,NA
5754,10-ha,709,C,6,2002,1,13,0,ULY,NA
5754,10-ha,710,C,8,2002,1,17,0,ULY,NA
5754,10-ha,712,C,8,2002,1,32,0,ULY,NA
5754,10-ha,713,E,8,2002,2,23,0,ULY,NA
5754,10-ha,730,E,9,2004,2,15,0,ULY,NA
5754,10-ha,773,D,8,2002,5,36,0,ULY,NA
5754,10-ha,779,C,2,2002,2,26,0,ULY,NA
5754,10-ha,780,C,8,2002,4,23,0,ULY,NA
5754,10-ha,781,C,3,2002,2,22,0,ULY,NA
5754,10-ha,783,C,3,2002,1,17,0,ULY,NA
5754,10-ha,788,C,5,2002,1,27,0,ULY,NA
5754,10-ha,789,E,9,2002,1,20,0,ULY,NA
5754,10-ha,791,C,7,2002,5,33,0,ULY,NA
5754,10-ha,792,D,10,2002,1,17,0,ULY,NA
5754,10-ha,793,C,4,2002,2,21,0,ULY,NA
5754,10-ha,796,D,5,2002,1,12,0,ULY,NA
5754,10-ha,799,E,4,2002,2,22,0,ULY,NA
5754,10-ha,807,A,8,2003,1,10,0,ULY,NA
5754,10-ha,809,A,6,2003,1,15,0,ULY,NA
5754,10-ha,813,A,5,2003,6,50,0,ULY,duplicate tag number
5754,10-ha,813,A,9,2006,1,20,NA,ULY,duplicate tag number
5754,10-ha,815,C,3,2003,3,37,0,ULY,NA
5754,10-ha,816,C,3,2003,3,39,0,ULY,duplicate tag number
5754,10-ha,818,B,7,2003,3,70,0,ULY,NA
5754,10-ha,819,B,7,2003,2,17,0,ULY,duplicate tag number
5754,10-ha,820,B,7,2003,1,20,0,ULY,NA
5754,10-ha,825,B,7,2003,3,38,0,ULY,NA
5754,10-ha,828,B,10,2003,1,16,0,ULY,duplicate tag number
5754,10-ha,829,C,7,2003,2,49,0,ULY,duplicate tag number
5754,10-ha,850,A,9,2004,1,10,0,ULY,NA
5754,10-ha,855,A,4,2004,2,24,0,ULY,NA
5754,10-ha,857,A,6,2004,3,42,0,ULY,NA
5754,10-ha,858,A,8,2004,1,16,0,ULY,duplicate tag number
5754,10-ha,860,A,8,2004,2,14,0,ULY,duplicate tag number
5754,10-ha,895,A,5,2003,3,16,0,ULY,NA
5754,10-ha,898,A,7,2003,3,26,0,ULY,NA
5754,10-ha,903,E,3,2000,2,21,0,ULY,NA
5754,10-ha,929,C,9,2000,1,21,0,ULY,NA
5754,10-ha,935,E,9,2000,1,17,0,ULY,NA
5754,10-ha,939,E,6,2000,2,40,0,ULY,NA
5754,10-ha,951,A,6,2002,5,80,0,ULY,NA
5754,10-ha,952,A,7,2002,3,24,0,ULY,NA
5754,10-ha,953,A,4,2002,1,20,0,ULY,NA
5754,10-ha,959,A,6,2002,1,22,0,ULY,NA
5754,10-ha,960,B,7,2002,3,22,0,ULY,NA
5754,10-ha,965,A,7,2002,3,25,0,ULY,NA
5754,10-ha,969,B,7,2002,4,20,0,ULY,NA
5754,10-ha,977,A,5,2002,1,17,0,ULY,NA
5754,10-ha,981,A,7,2002,2,18,0,ULY,NA
5754,10-ha,1000,C,8,2002,1,18,0,ULY,NA
5754,10-ha,1327,E,7,2002,1,10,0,ULY,NA
5754,10-ha,1328,C,9,2002,3,26,0,ULY,NA
5754,10-ha,1335,E,7,2002,3,17,0,ULY,NA
5754,10-ha,1337,B,3,2002,1,20,0,ULY,NA
5754,10-ha,1342,B,2,2002,2,22,0,ULY,NA
5756,CF,116,C,9,2008,1,62,NA,ULY,NA
5756,CF,198,C,1,2008,3,40,NA,ULY,NA
5756,CF,265,A,6,2008,1,26,NA,ULY,NA
5756,CF,360,C,1,2000,3,38,0,ULY,NA
5756,CF,447,C,9,2008,3,60,NA,ULY,NA
5756,CF,451,C,7,2008,3,51,NA,ULY,NA
5756,CF,546,B,2,2000,1,20,0,ULY,NA
5756,CF,593,A,3,2000,6,52,0,ULY,NA
5756,CF,597,E,3,2008,1,11,NA,ULY,NA
5756,CF,770,B,6,2000,2,22,0,ULY,NA
5756,CF,791,D,5,2000,2,28,0,ULY,NA
5756,CF,805,E,6,2000,2,23,0,ULY,NA
5756,CF,807,D,4,2000,2,18,0,ULY,NA
5756,CF,816,D,9,2009,4,70,1,ULY,duplicate tag number
5756,CF,831,A,4,2000,1,25,0,ULY,NA
5756,CF,834,B,4,2000,2,12,0,ULY,NA
5756,CF,837,A,5,2000,3,30,0,ULY,NA
5756,CF,846,A,7,2000,1,15,0,ULY,NA
5756,CF,850,B,7,2000,2,19,0,ULY,NA
5756,CF,857,B,7,2000,3,24,0,ULY,NA
5756,CF,857,B,7,2008,2,53,NA,ULY,NA
5756,CF,872,B,7,2000,1,21,0,ULY,NA
5756,CF,888,B,8,2002,1,22,0,ULY,NA
5756,CF,965,D,8,2002,1,11,0,ULY,NA
5756,CF,968,A,8,2002,2,15,0,ULY,NA
5756,CF,976,B,7,2002,1,22,0,ULY,NA
5756,CF,981,A,5,2002,1,19,0,ULY,NA
5756,CF,994,E,7,2002,1,14,0,ULY,NA
5756,CF,995,B,6,2002,1,19,0,ULY,NA
5756,CF,997,B,7,2002,1,20,0,ULY,NA
5756,CF,1000,D,7,2002,1,16,0,ULY,NA
5756,CF,1202,E,8,2002,2,16,0,ULY,NA
5756,CF,1215,A,6,2002,1,28,0,ULY,NA
5756,CF,1220,B,6,2002,1,16,0,ULY,NA
5756,CF,1221,E,2,2002,2,28,0,ULY,NA
5756,CF,1222,E,2,2002,2,22,0,ULY,NA
5756,CF,1246,C,1,2002,2,24,0,ULY,NA
5756,CF,1256,E,9,2003,1,16,0,ULY,NA
5756,CF,1257,E,8,2003,1,20,0,ULY,NA
5756,CF,1261,A,8,2003,3,45,0,ULY,NA
5756,CF,1262,A,8,2003,3,18,0,ULY,NA
5756,CF,1263,A,8,2003,8,50,0,ULY,NA
5756,CF,1263,A,8,2008,4,61,NA,ULY,NA
5756,CF,1264,A,7,2003,6,40,0,ULY,NA
5756,CF,1265,B,7,2003,2,27,0,ULY,NA
5756,CF,1266,B,7,2003,3,25,0,ULY,NA
5756,CF,1276,B,2,2003,2,28,0,ULY,NA
5756,CF,1282,C,7,2004,1,15,0,ULY,NA
5756,CF,1285,C,8,2004,3,68,NA,ULY,NA
5756,CF,1608,D,10,2004,3,50,NA,ULY,NA
5756,CF,1617,B,6,2004,1,16,0,ULY,NA
5756,CF,1655,B,8,2006,3,34,NA,ULY,NA
5756,CF,1686,E,2,2004,1,15,NA,ULY,NA
5756,CF,1696,B,6,2008,1,21,NA,ULY,NA
5756,CF,1721,D,2,2008,2,19,NA,ULY,NA
5756,CF,1732,A,2,2008,7,38,NA,ULY,NA
5756,CF,1777,D,7,2008,4,62,NA,ULY,NA
5756,CF,1779,C,9,2008,2,28,NA,ULY,NA
5756,CF,1789,A,5,2008,4,81,1,ULY,NA
CaboFrio-CF,CF,208,C,7,2002,1,13,0,ULY,NA
CaboFrio-CF,CF,212,A,10,2002,2,20,0,ULY,NA
CaboFrio-CF,CF,216,A,9,2002,2,16,0,ULY,NA
CaboFrio-CF,CF,217,A,10,2002,1,20,0,ULY,NA
CaboFrio-CF,CF,227,C,7,2002,1,12,0,ULY,NA
CaboFrio-CF,CF,230,B,7,2002,1,18,0,ULY,NA
CaboFrio-CF,CF,235,B,1,2002,1,15,0,ULY,NA
CaboFrio-CF,CF,241,A,5,2002,2,29,0,ULY,NA
CaboFrio-CF,CF,242,A,8,2002,1,12,0,ULY,NA
CaboFrio-CF,CF,245,A,5,2001,3,25,0,ULY,NA
CaboFrio-CF,CF,248,D,2,2002,1,12,0,ULY,NA
CaboFrio-CF,CF,257,A,10,2002,2,21,0,ULY,NA
CaboFrio-CF,CF,259,E,2,2002,1,18,0,ULY,NA
CaboFrio-CF,CF,262,A,9,2002,1,16,0,ULY,NA
CaboFrio-CF,CF,265,D,1,2002,1,19,0,ULY,NA
CaboFrio-CF,CF,266,C,7,2002,1,16,0,ULY,NA
CaboFrio-CF,CF,269,C,8,2002,1,11,0,ULY,NA
CaboFrio-CF,CF,277,C,8,2002,3,28,0,ULY,NA
CaboFrio-CF,CF,278,B,10,2002,2,15,0,ULY,NA
CaboFrio-CF,CF,280,C,7,2002,1,19,0,ULY,NA
CaboFrio-CF,CF,282,D,6,2002,2,12,0,ULY,NA
CaboFrio-CF,CF,290,A,5,2002,1,12,0,ULY,NA
CaboFrio-CF,CF,337,B,8,2002,1,30,0,ULY,NA
CaboFrio-CF,CF,378,D,6,2008,3,NA,NA,ULY,NA
CaboFrio-CF,CF,2116,E,2,2007,3,25,NA,ULY,NA
Dimona-CF,CF,89,E,8,2008,1,6,NA,ULY,NA
Dimona-CF,CF,147,C,4,2001,1,22,0,ULY,NA
Dimona-CF,CF,149,D,6,2002,3,16,0,ULY,NA
Dimona-CF,CF,151,A,8,2001,1,17,0,ULY,NA
Dimona-CF,CF,152,B,4,2001,3,16,0,ULY,NA
Dimona-CF,CF,166,C,5,2006,3,29,NA,ULY,NA
Dimona-CF,CF,168,E,3,2002,1,18,0,ULY,NA
Florestal-CF,CF,264,B,8,2008,4,43,NA,ULY,NA
Florestal-CF,CF,378,D,6,2007,4,69,NA,ULY,NA
Florestal-CF,CF,674,B,5,2008,2,42,NA,ULY,NA
Florestal-CF,CF,699,C,2,2000,1,14,0,ULY,NA
Florestal-CF,CF,735,B,6,2000,2,20,0,ULY,NA
Florestal-CF,CF,749,B,4,2000,1,17,0,ULY,NA
Florestal-CF,CF,761,A,1,2000,1,14,0,ULY,NA
Florestal-CF,CF,778,E,8,2008,3,31,NA,ULY,NA
Florestal-CF,CF,801,A,8,2000,3,28,0,ULY,NA
Florestal-CF,CF,814,A,7,2000,1,25,0,ULY,NA
Florestal-CF,CF,827,B,1,2000,2,41,0,ULY,NA
Florestal-CF,CF,833,C,4,2000,2,16,0,ULY,NA
Florestal-CF,CF,838,B,6,2000,4,30,0,ULY,NA
Florestal-CF,CF,839,B,6,2000,1,17,0,ULY,NA
Florestal-CF,CF,844,B,6,2002,3,30,0,ULY,NA
Florestal-CF,CF,844,B,6,2008,3,44,NA,ULY,NA
Florestal-CF,CF,845,E,7,2000,3,49,0,ULY,NA
Florestal-CF,CF,846,B,6,2000,3,69,0,ULY,NA
Florestal-CF,CF,848,B,6,2000,3,32,0,ULY,NA
Florestal-CF,CF,849,E,7,2000,1,12,0,ULY,NA
Florestal-CF,CF,856,B,5,2000,1,15,0,ULY,NA
Florestal-CF,CF,887,E,2,2000,1,18,0,ULY,NA
Florestal-CF,CF,888,C,5,2000,1,14,0,ULY,NA
Florestal-CF,CF,896,A,1,2001,1,28,0,ULY,NA
Florestal-CF,CF,906,A,4,2001,1,17,0,ULY,NA
Florestal-CF,CF,913,E,2,2000,3,94,0,ULY,NA
Florestal-CF,CF,914,C,5,2000,2,31,0,ULY,NA
Florestal-CF,CF,917,C,5,2000,2,18,0,ULY,NA
Florestal-CF,CF,919,C,3,2000,2,40,0,ULY,NA
Florestal-CF,CF,926,E,3,2000,2,10,0,ULY,NA
Florestal-CF,CF,939,A,2,2001,3,17,0,ULY,NA
Florestal-CF,CF,943,A,4,2001,1,17,0,ULY,NA
Florestal-CF,CF,946,A,2,2001,2,19,0,ULY,NA
Florestal-CF,CF,957,A,3,2001,2,19,0,ULY,NA
Florestal-CF,CF,972,A,3,2008,3,40,NA,ULY,NA
Florestal-CF,CF,999,E,8,2001,1,17,0,ULY,NA
Florestal-CF,CF,1063,E,10,2001,2,16,0,ULY,NA
Florestal-CF,CF,1068,B,2,2001,4,26,0,ULY,NA
Florestal-CF,CF,1071,C,2,2002,1,14,0,ULY,NA
Florestal-CF,CF,1081,E,7,2001,1,24,0,ULY,NA
Florestal-CF,CF,1082,C,5,2001,1,27,0,ULY,NA
Florestal-CF,CF,1102,D,3,2002,3,20,0,ULY,NA
Florestal-CF,CF,1104,E,8,2002,1,12,0,ULY,NA
Florestal-CF,CF,1109,A,2,2002,1,20,0,ULY,NA
Florestal-CF,CF,1115,B,8,2002,1,20,0,ULY,NA
Florestal-CF,CF,1119,E,8,2002,1,12,0,ULY,NA
Florestal-CF,CF,1123,B,2,2002,2,31,0,ULY,NA
Florestal-CF,CF,1125,B,3,2002,2,25,0,ULY,NA
Florestal-CF,CF,1137,C,2,2002,1,10,0,ULY,NA
Florestal-CF,CF,1138,A,8,2002,1,17,0,ULY,NA
Florestal-CF,CF,1142,D,6,2002,2,24,0,ULY,NA
Florestal-CF,CF,1143,B,3,2002,2,18,0,ULY,NA
Florestal-CF,CF,1146,E,8,2002,1,19,0,ULY,NA
Florestal-CF,CF,1148,A,1,2002,4,35,0,ULY,NA
Florestal-CF,CF,1158,A,1,2002,1,13,0,ULY,NA
Florestal-CF,CF,1162,A,4,2002,1,18,0,ULY,NA
Florestal-CF,CF,1164,B,10,2002,1,11,0,ULY,NA
Florestal-CF,CF,1165,D,1,2002,1,24,0,ULY,NA
Florestal-CF,CF,1167,A,2,2002,3,49,0,ULY,NA
Florestal-CF,CF,1168,E,9,2002,2,13,0,ULY,NA
Florestal-CF,CF,1172,D,1,2002,1,10,0,ULY,NA
Florestal-CF,CF,1179,E,5,2002,2,21,0,ULY,NA
Florestal-CF,CF,1180,A,4,2002,2,25,0,ULY,NA
Florestal-CF,CF,1187,D,3,2002,1,22,0,ULY,NA
Florestal-CF,CF,1210,A,3,2004,1,13,0,ULY,NA
Florestal-CF,CF,1226,E,6,2004,2,13,0,ULY,NA
Florestal-CF,CF,1249,A,6,2004,1,18,0,ULY,NA
Florestal-CF,CF,1253,A,8,2004,1,12,0,ULY,NA
Florestal-CF,CF,1255,A,10,2004,1,15,0,ULY,NA
Florestal-CF,CF,1263,A,2,2006,3,25,NA,ULY,NA
Florestal-CF,CF,1266,B,3,2006,1,32,NA,ULY,NA
Florestal-CF,CF,1403,E,1,2002,1,17,0,ULY,NA
Florestal-CF,CF,1421,E,1,2002,2,34,0,ULY,NA
Florestal-CF,CF,1423,E,1,2008,1,6,NA,ULY,NA
Florestal-CF,CF,1425,E,1,2002,3,42,0,ULY,NA
Florestal-CF,CF,1496,B,6,2006,3,47,NA,ULY,NA
Florestal-CF,CF,1499,B,7,2006,4,51,NA,ULY,NA
Florestal-CF,CF,1578,B,6,2007,2,34,NA,ULY,NA
Florestal-CF,CF,1916,A,1,2008,3,80,NA,ULY,NA
PortoAlegre-CF,CF,12,C,1,2002,1,13,0,ULY,NA
PortoAlegre-CF,CF,33,C,4,2008,3,13,NA,ULY,NA
PortoAlegre-CF,CF,37,C,4,2008,4,90,NA,ULY,NA
PortoAlegre-CF,CF,103,A,6,2002,3,37,0,ULY,NA
PortoAlegre-CF,CF,110,E,8,2002,2,35,0,ULY,NA
PortoAlegre-CF,CF,162,E,1,2002,2,14,0,ULY,NA
PortoAlegre-CF,CF,166,B,1,2002,2,11,0,ULY,NA
PortoAlegre-CF,CF,201,E,9,2002,2,24,0,ULY,NA
PortoAlegre-CF,CF,202,E,7,2002,2,26,0,ULY,NA
PortoAlegre-CF,CF,207,E,7,2003,2,21,0,ULY,NA
PortoAlegre-CF,CF,215,E,10,2004,1,15,0,ULY,NA
PortoAlegre-CF,CF,219,E,10,2004,1,20,0,ULY,NA
PortoAlegre-CF,CF,226,E,10,2004,1,22,0,ULY,NA
PortoAlegre-CF,CF,236,E,10,2004,2,11,0,ULY,NA
PortoAlegre-CF,CF,239,E,5,2006,3,34,NA,ULY,NA
PortoAlegre-CF,CF,264,B,9,2002,1,26,0,ULY,NA
PortoAlegre-CF,CF,270,D,10,2003,6,110,2,ULY,NA
PortoAlegre-CF,CF,273,E,9,2006,1,40,NA,ULY,NA
PortoAlegre-CF,CF,278,E,7,2002,3,25,0,ULY,NA
PortoAlegre-CF,CF,280,D,8,2002,3,21,0,ULY,NA
PortoAlegre-CF,CF,283,C,9,2002,1,23,0,ULY,NA
PortoAlegre-CF,CF,289,A,6,2001,3,30,0,ULY,NA
PortoAlegre-CF,CF,299,D,9,2002,2,23,0,ULY,NA
PortoAlegre-CF,CF,355,E,5,2008,2,25,NA,ULY,NA
