plotID,plot,habitat,tag_number,year,shts,ht,code.notes
FF-1,2107,1-ha,228,1998,NA,NA,NA
FF-1,2107,1-ha,228,1999,NA,NA,NA
FF-1,2107,1-ha,228,2000,2,48,ULY (3)
FF-1,2107,1-ha,228,2001,4,47,NA
FF-1,2107,1-ha,228,2002,3,51,NA
FF-1,2107,1-ha,228,2003,3,61,NA
FF-1,2107,1-ha,228,2004,2,51,NA
FF-1,2107,1-ha,228,2005,1,45,NA
FF-1,2107,1-ha,228,2006,NA,NA,dead (2)
FF-1,2107,1-ha,228,2007,1,48,NA
FF-1,2107,1-ha,228,2008,3,50,NA
FF-1,2107,1-ha,228,2009,3,64,NA
FF-1,2107,1-ha,282,1998,NA,NA,NA
FF-1,2107,1-ha,282,1999,NA,NA,NA
FF-1,2107,1-ha,282,2000,NA,NA,NA
FF-1,2107,1-ha,282,2001,NA,NA,NA
FF-1,2107,1-ha,282,2002,NA,NA,NA
FF-1,2107,1-ha,282,2003,NA,NA,NA
FF-1,2107,1-ha,282,2004,1,5,sdlg (1)
FF-1,2107,1-ha,282,2005,4,81,NA
FF-1,2107,1-ha,282,2006,NA,NA,dead (2)
FF-1,2107,1-ha,282,2007,1,18,NA
FF-1,2107,1-ha,282,2008,1,19,NA
FF-1,2107,1-ha,282,2009,2,12,NA
FF-2,2108,1-ha,17,1998,NA,NA,NA
FF-2,2108,1-ha,17,1998,NA,NA,NA
FF-2,2108,1-ha,17,1999,NA,NA,NA
FF-2,2108,1-ha,17,1999,1,11,ULY (3)
FF-2,2108,1-ha,17,2000,NA,NA,NA
FF-2,2108,1-ha,17,2000,1,14,NA
FF-2,2108,1-ha,17,2001,NA,NA,NA
FF-2,2108,1-ha,17,2001,1,10,NA
FF-2,2108,1-ha,17,2002,NA,NA,NA
FF-2,2108,1-ha,17,2002,2,12,NA
FF-2,2108,1-ha,17,2003,NA,NA,NA
FF-2,2108,1-ha,17,2003,1,10,NA
FF-2,2108,1-ha,17,2004,NA,NA,NA
FF-2,2108,1-ha,17,2004,1,17,NA
FF-2,2108,1-ha,17,2005,NA,NA,NA
FF-2,2108,1-ha,17,2005,3,18,NA
FF-2,2108,1-ha,17,2006,NA,NA,NA
FF-2,2108,1-ha,17,2006,NA,NA,dead (2)
FF-2,2108,1-ha,17,2007,1,16,NA
FF-2,2108,1-ha,17,2007,NA,NA,NA
FF-2,2108,1-ha,17,2008,1,11,NA
FF-2,2108,1-ha,17,2008,NA,NA,NA
FF-2,2108,1-ha,17,2009,1,13,NA
FF-2,2108,1-ha,17,2009,NA,NA,NA
FF-2,2108,1-ha,66,1998,1,26,NA
FF-2,2108,1-ha,66,1998,NA,NA,NA
FF-2,2108,1-ha,66,1999,NA,NA,plant missing (60)
FF-2,2108,1-ha,66,1999,1,13,sdlg (1)
FF-2,2108,1-ha,66,2000,2,21,NA
FF-2,2108,1-ha,66,2000,NA,NA,dead (2)
FF-2,2108,1-ha,66,2001,4,24,NA
FF-2,2108,1-ha,66,2001,NA,NA,NA
FF-2,2108,1-ha,66,2002,4,66,NA
FF-2,2108,1-ha,66,2002,NA,NA,NA
FF-2,2108,1-ha,66,2005,5,100,NA
FF-2,2108,1-ha,66,2005,NA,NA,NA
FF-2,2108,1-ha,66,2006,5,110,2x in field (200)
FF-2,2108,1-ha,66,2006,NA,NA,NA
FF-2,2108,1-ha,293,1998,NA,NA,NA
FF-2,2108,1-ha,293,1999,NA,NA,NA
FF-2,2108,1-ha,293,2000,NA,NA,NA
FF-2,2108,1-ha,293,2001,NA,NA,NA
FF-2,2108,1-ha,293,2002,NA,NA,NA
FF-2,2108,1-ha,293,2003,NA,NA,NA
FF-2,2108,1-ha,293,2004,NA,NA,NA
FF-2,2108,1-ha,293,2005,NA,NA,NA
FF-2,2108,1-ha,293,2006,NA,NA,NA
FF-2,2108,1-ha,293,2007,1,15,sdlg (1)
FF-2,2108,1-ha,293,2008,1,7,ULY (3)
FF-2,2108,1-ha,293,2009,1,7,dead (2)
CF-2,5750,CF,236,1998,NA,NA,NA
CF-2,5750,CF,236,1998,2,22,NA
CF-2,5750,CF,236,1999,NA,NA,NA
CF-2,5750,CF,236,1999,2,16,NA
CF-2,5750,CF,236,2000,NA,NA,NA
CF-2,5750,CF,236,2000,1,22,NA
CF-2,5750,CF,236,2001,NA,NA,NA
CF-2,5750,CF,236,2001,2,24,NA
CF-2,5750,CF,236,2002,NA,NA,NA
CF-2,5750,CF,236,2002,2,21,NA
CF-2,5750,CF,236,2003,NA,NA,NA
CF-2,5750,CF,236,2003,2,17,NA
CF-2,5750,CF,236,2004,NA,NA,NA
CF-2,5750,CF,236,2004,1,19,NA
CF-2,5750,CF,236,2005,NA,NA,NA
CF-2,5750,CF,236,2005,1,13,NA
CF-2,5750,CF,236,2006,NA,NA,NA
CF-2,5750,CF,236,2006,NA,NA,dead (2)
CF-2,5750,CF,236,2007,1,10,NA
CF-2,5750,CF,236,2007,NA,NA,NA
CF-2,5750,CF,864,1998,NA,NA,NA
CF-2,5750,CF,864,1999,NA,NA,NA
CF-2,5750,CF,864,2000,NA,NA,NA
CF-2,5750,CF,864,2001,NA,NA,NA
CF-2,5750,CF,864,2002,NA,NA,NA
CF-2,5750,CF,864,2003,1,14,sdlg (1)
CF-2,5750,CF,864,2004,2,12,NA
CF-2,5750,CF,864,2005,NA,NA,dead (2)
CF-2,5750,CF,864,2006,1,8,NA
FF-3,5751,1-ha,128,1998,NA,NA,NA
FF-3,5751,1-ha,128,1999,1,9,sdlg (1)
FF-3,5751,1-ha,128,2000,1,9,NA
FF-3,5751,1-ha,128,2001,1,7,NA
FF-3,5751,1-ha,128,2002,1,8,NA
FF-3,5751,1-ha,128,2003,2,20,NA
FF-3,5751,1-ha,128,2004,NA,NA,dead (2)
FF-3,5751,1-ha,128,2006,2,37,NA
FF-3,5751,1-ha,365,1998,NA,NA,NA
FF-3,5751,1-ha,365,1998,NA,NA,NA
FF-3,5751,1-ha,365,1999,NA,NA,NA
FF-3,5751,1-ha,365,1999,NA,NA,NA
FF-3,5751,1-ha,365,2000,NA,NA,NA
FF-3,5751,1-ha,365,2000,NA,NA,NA
FF-3,5751,1-ha,365,2001,NA,NA,NA
FF-3,5751,1-ha,365,2001,NA,NA,NA
FF-3,5751,1-ha,365,2002,NA,NA,NA
FF-3,5751,1-ha,365,2002,NA,NA,NA
FF-3,5751,1-ha,365,2003,NA,NA,NA
FF-3,5751,1-ha,365,2003,NA,NA,NA
FF-3,5751,1-ha,365,2004,NA,NA,NA
FF-3,5751,1-ha,365,2004,NA,NA,NA
FF-3,5751,1-ha,365,2005,NA,NA,NA
FF-3,5751,1-ha,365,2005,NA,NA,NA
FF-3,5751,1-ha,365,2006,NA,NA,NA
FF-3,5751,1-ha,365,2006,NA,NA,NA
FF-3,5751,1-ha,365,2007,1,7,sdlg (1)
FF-3,5751,1-ha,365,2007,NA,NA,NA
FF-3,5751,1-ha,365,2008,NA,NA,dead (2)
FF-3,5751,1-ha,365,2008,3,40,NA
FF-6,5752,10-ha,149,1998,2,18,NA
FF-6,5752,10-ha,149,1999,3,20,NA
FF-6,5752,10-ha,149,2000,3,24,NA
FF-6,5752,10-ha,149,2001,3,25,NA
FF-6,5752,10-ha,149,2002,2,29,NA
FF-6,5752,10-ha,149,2003,2,39,NA
FF-6,5752,10-ha,149,2004,1,17,NA
FF-6,5752,10-ha,149,2005,NA,NA,dead (2)
FF-6,5752,10-ha,149,2006,1,16,NA
FF-6,5752,10-ha,272,1998,NA,NA,NA
FF-6,5752,10-ha,272,1999,1,14,ULY (3)
FF-6,5752,10-ha,272,2000,1,18,NA
FF-6,5752,10-ha,272,2001,1,15,NA
FF-6,5752,10-ha,272,2002,1,12,NA
FF-6,5752,10-ha,272,2003,2,10,NA
FF-6,5752,10-ha,272,2004,1,15,NA
FF-6,5752,10-ha,272,2005,NA,NA,dead (2)
FF-6,5752,10-ha,272,2006,1,7,NA
FF-6,5752,10-ha,499,1998,NA,NA,NA
FF-6,5752,10-ha,499,1999,NA,NA,NA
FF-6,5752,10-ha,499,2000,1,10,sdlg (1)
FF-6,5752,10-ha,499,2001,1,9,NA
FF-6,5752,10-ha,499,2002,1,14,NA
FF-6,5752,10-ha,499,2003,1,12,NA
FF-6,5752,10-ha,499,2004,1,16,NA
FF-6,5752,10-ha,499,2005,NA,NA,dead (2)
FF-6,5752,10-ha,499,2006,1,13,NA
FF-6,5752,10-ha,736,1998,NA,NA,NA
FF-6,5752,10-ha,736,1999,NA,NA,NA
FF-6,5752,10-ha,736,2000,NA,NA,NA
FF-6,5752,10-ha,736,2001,NA,NA,NA
FF-6,5752,10-ha,736,2002,NA,NA,NA
FF-6,5752,10-ha,736,2003,NA,NA,NA
FF-6,5752,10-ha,736,2004,1,7,sdlg (1)
FF-6,5752,10-ha,736,2005,NA,NA,dead (2)
FF-6,5752,10-ha,736,2006,2,15,NA
FF-4,5753,1-ha,34,1998,2,35,NA
FF-4,5753,1-ha,34,1999,2,21,NA
FF-4,5753,1-ha,34,2000,1,26,NA
FF-4,5753,1-ha,34,2001,2,32,NA
FF-4,5753,1-ha,34,2002,1,20,NA
FF-4,5753,1-ha,34,2003,1,20,NA
FF-4,5753,1-ha,34,2004,1,25,NA
FF-4,5753,1-ha,34,2005,1,22,NA
FF-4,5753,1-ha,34,2006,NA,NA,dead (2)
FF-4,5753,1-ha,34,2008,1,10,NA
FF-4,5753,1-ha,34,2009,1,7,NA
FF-4,5753,1-ha,52,1998,2,38,NA
FF-4,5753,1-ha,52,1999,3,36,NA
FF-4,5753,1-ha,52,2000,2,32,NA
FF-4,5753,1-ha,52,2001,1,25,NA
FF-4,5753,1-ha,52,2002,2,25,NA
FF-4,5753,1-ha,52,2003,2,30,NA
FF-4,5753,1-ha,52,2004,1,22,NA
FF-4,5753,1-ha,52,2005,2,19,NA
FF-4,5753,1-ha,52,2006,NA,NA,dead (2)
FF-4,5753,1-ha,52,2007,2,28,NA
FF-4,5753,1-ha,52,2008,2,41,NA
FF-4,5753,1-ha,52,2009,2,36,NA
FF-4,5753,1-ha,268,1998,NA,NA,NA
FF-4,5753,1-ha,268,1999,NA,NA,NA
FF-4,5753,1-ha,268,2000,1,13,ULY (3)
FF-4,5753,1-ha,268,2001,1,9,NA
FF-4,5753,1-ha,268,2002,1,22,NA
FF-4,5753,1-ha,268,2003,NA,NA,plant missing (60)
FF-4,5753,1-ha,268,2004,2,16,NA
FF-4,5753,1-ha,268,2005,NA,NA,dead (2)
FF-4,5753,1-ha,268,2006,1,9,NA
FF-4,5753,1-ha,268,2007,1,12,NA
FF-4,5753,1-ha,268,2008,1,20,NA
FF-4,5753,1-ha,268,2009,1,16,NA
FF-4,5753,1-ha,276,1998,NA,NA,NA
FF-4,5753,1-ha,276,1999,1,10,ULY (3)
FF-4,5753,1-ha,276,2000,1,14,NA
FF-4,5753,1-ha,276,2001,1,23,NA
FF-4,5753,1-ha,276,2002,2,17,NA
FF-4,5753,1-ha,276,2003,1,20,NA
FF-4,5753,1-ha,276,2004,3,16,NA
FF-4,5753,1-ha,276,2005,NA,NA,dead (2)
FF-4,5753,1-ha,276,2006,1,6,NA
FF-4,5753,1-ha,292,1998,NA,NA,NA
FF-4,5753,1-ha,292,1999,2,21,ULY (3)
FF-4,5753,1-ha,292,2000,3,22,NA
FF-4,5753,1-ha,292,2001,2,17,NA
FF-4,5753,1-ha,292,2002,3,11,NA
FF-4,5753,1-ha,292,2003,1,3,NA
FF-4,5753,1-ha,292,2004,1,19,NA
FF-4,5753,1-ha,292,2005,NA,NA,dead (2)
FF-4,5753,1-ha,292,2006,2,17,NA
FF-4,5753,1-ha,292,2007,2,25,NA
FF-4,5753,1-ha,292,2008,2,30,NA
FF-4,5753,1-ha,292,2009,3,35,NA
FF-4,5753,1-ha,345,1998,NA,NA,NA
FF-4,5753,1-ha,345,1999,NA,NA,NA
FF-4,5753,1-ha,345,2000,NA,NA,NA
FF-4,5753,1-ha,345,2001,NA,NA,NA
FF-4,5753,1-ha,345,2002,1,10,sdlg (1)
FF-4,5753,1-ha,345,2003,1,14,NA
FF-4,5753,1-ha,345,2004,1,14,NA
FF-4,5753,1-ha,345,2005,1,11,NA
FF-4,5753,1-ha,345,2006,1,7,NA
FF-4,5753,1-ha,345,2007,1,8,NA
FF-4,5753,1-ha,345,2008,NA,NA,dead (2)
FF-4,5753,1-ha,345,2009,1,6,sdlg (1)
FF-4,5753,1-ha,412,1998,1,80,NA
FF-4,5753,1-ha,412,1999,2,75,NA
FF-4,5753,1-ha,412,2000,3,74,NA
FF-4,5753,1-ha,412,2001,2,62,NA
FF-4,5753,1-ha,412,2002,1,15,under branchfall (90)
FF-4,5753,1-ha,412,2003,1,36,NA
FF-4,5753,1-ha,412,2004,1,20,NA
FF-4,5753,1-ha,412,2005,NA,NA,dead (2)
FF-4,5753,1-ha,412,2006,1,15,NA
FF-4,5753,1-ha,412,2007,1,7,NA
FF-4,5753,1-ha,412,2009,1,10,NA
CF-3,5756,CF,29,1998,NA,70,NA
CF-3,5756,CF,29,1998,2,54,NA
CF-3,5756,CF,29,1999,2,40,NA
CF-3,5756,CF,29,1999,4,56,NA
CF-3,5756,CF,29,2000,3,53,NA
CF-3,5756,CF,29,2000,5,96,NA
CF-3,5756,CF,29,2001,5,46,NA
CF-3,5756,CF,29,2001,9,79,NA
CF-3,5756,CF,29,2002,4,51,NA
CF-3,5756,CF,29,2002,5,67,NA
CF-3,5756,CF,29,2003,2,54,NA
CF-3,5756,CF,29,2003,3,55,NA
CF-3,5756,CF,29,2004,2,58,NA
CF-3,5756,CF,29,2004,3,52,NA
CF-3,5756,CF,29,2005,3,55,NA
CF-3,5756,CF,29,2005,2,15,NA
CF-3,5756,CF,29,2006,3,50,2x in field (200)
CF-3,5756,CF,29,2006,NA,NA,2x in field (200)
CF-3,5756,CF,29,2007,2,48,NA
CF-3,5756,CF,29,2007,NA,NA,dead (2)
CF-3,5756,CF,29,2008,2,36,NA
CF-3,5756,CF,29,2008,NA,NA,NA
CF-3,5756,CF,29,2009,2,35,NA
CF-3,5756,CF,29,2009,NA,NA,NA
CF-3,5756,CF,50,1998,2,85,NA
CF-3,5756,CF,50,1999,2,78,NA
CF-3,5756,CF,50,2000,2,62,NA
CF-3,5756,CF,50,2001,4,49,NA
CF-3,5756,CF,50,2002,4,53,NA
CF-3,5756,CF,50,2003,2,58,NA
CF-3,5756,CF,50,2004,3,53,NA
CF-3,5756,CF,50,2005,4,68,NA
CF-3,5756,CF,50,2006,NA,NA,dead (2)
CF-3,5756,CF,50,2007,1,29,under treefall (80)
CF-3,5756,CF,50,2008,1,26,NA
CF-3,5756,CF,50,2009,1,26,NA
CF-3,5756,CF,141,1998,1,14,NA
CF-3,5756,CF,141,1999,1,10,NA
CF-3,5756,CF,141,2000,1,12,NA
CF-3,5756,CF,141,2001,3,14,NA
CF-3,5756,CF,141,2002,2,30,NA
CF-3,5756,CF,141,2003,1,15,NA
CF-3,5756,CF,141,2004,1,14,NA
CF-3,5756,CF,141,2005,NA,NA,dead (2)
CF-3,5756,CF,141,2006,1,8,NA
CF-3,5756,CF,690,1998,NA,NA,NA
CF-3,5756,CF,690,1999,1,11,sdlg (1)
CF-3,5756,CF,690,2000,1,17,NA
CF-3,5756,CF,690,2001,2,26,NA
CF-3,5756,CF,690,2002,1,38,NA
CF-3,5756,CF,690,2003,1,35,NA
CF-3,5756,CF,690,2004,3,45,NA
CF-3,5756,CF,690,2005,3,33,NA
CF-3,5756,CF,690,2006,NA,NA,dead (2)
CF-3,5756,CF,690,2007,3,46,NA
CF-3,5756,CF,690,2008,3,47,NA
CF-3,5756,CF,690,2009,2,55,NA
CF-3,5756,CF,707,1998,NA,NA,NA
CF-3,5756,CF,707,1999,NA,NA,NA
CF-3,5756,CF,707,2000,1,8,sdlg (1)
CF-3,5756,CF,707,2001,1,5,NA
CF-3,5756,CF,707,2002,1,3,NA
CF-3,5756,CF,707,2003,1,3,NA
CF-3,5756,CF,707,2004,NA,NA,dead (2)
CF-3,5756,CF,707,2007,2,18,NA
CF-3,5756,CF,793,1998,NA,NA,NA
CF-3,5756,CF,793,1999,NA,NA,NA
CF-3,5756,CF,793,2000,1,11,sdlg (1)
CF-3,5756,CF,793,2001,1,13,NA
CF-3,5756,CF,793,2002,2,17,NA
CF-3,5756,CF,793,2003,2,22,NA
CF-3,5756,CF,793,2004,2,19,NA
CF-3,5756,CF,793,2005,NA,NA,dead (2)
CF-3,5756,CF,793,2007,1,14,NA
CF-3,5756,CF,793,2008,1,10,NA
CF-3,5756,CF,793,2009,1,7,NA
CF-3,5756,CF,933,1998,NA,NA,NA
CF-3,5756,CF,933,1999,NA,NA,NA
CF-3,5756,CF,933,2000,NA,NA,NA
CF-3,5756,CF,933,2001,1,14,sdlg (1)
CF-3,5756,CF,933,2002,1,10,NA
CF-3,5756,CF,933,2003,1,5,NA
CF-3,5756,CF,933,2004,1,10,NA
CF-3,5756,CF,933,2005,NA,NA,dead (2)
CF-3,5756,CF,933,2006,7,70,NA
CF-3,5756,CF,933,2007,10,72,NA
CF-3,5756,CF,933,2008,7,74,NA
CF-3,5756,CF,933,2009,5,74,NA
CF-3,5756,CF,1261,1998,NA,NA,NA
CF-3,5756,CF,1261,1999,NA,NA,NA
CF-3,5756,CF,1261,2000,NA,NA,NA
CF-3,5756,CF,1261,2001,NA,NA,NA
CF-3,5756,CF,1261,2002,NA,NA,NA
CF-3,5756,CF,1261,2003,3,45,ULY (3)
CF-3,5756,CF,1261,2004,3,35,NA
CF-3,5756,CF,1261,2005,2,47,NA
CF-3,5756,CF,1261,2006,NA,NA,dead (2)
CF-3,5756,CF,1261,2007,3,50,NA
CF-3,5756,CF,1261,2008,2,57,NA
CF-3,5756,CF,1261,2009,2,51,NA
CF-3,5756,CF,1292,1998,NA,NA,NA
CF-3,5756,CF,1292,1999,NA,NA,NA
CF-3,5756,CF,1292,2000,NA,NA,NA
CF-3,5756,CF,1292,2001,NA,NA,NA
CF-3,5756,CF,1292,2002,NA,NA,NA
CF-3,5756,CF,1292,2003,NA,NA,NA
CF-3,5756,CF,1292,2004,1,7,sdlg (1)
CF-3,5756,CF,1292,2005,NA,NA,dead (2)
CF-3,5756,CF,1292,2006,1,10,NA
CF-3,5756,CF,1292,2007,1,10,NA
CF-3,5756,CF,1292,2008,1,6,NA
CF-3,5756,CF,1292,2009,1,5,NA
CF-3,5756,CF,1294,1998,NA,NA,NA
CF-3,5756,CF,1294,1999,NA,NA,NA
CF-3,5756,CF,1294,2000,NA,NA,NA
CF-3,5756,CF,1294,2001,NA,NA,NA
CF-3,5756,CF,1294,2002,NA,NA,NA
CF-3,5756,CF,1294,2003,NA,NA,NA
CF-3,5756,CF,1294,2004,NA,NA,NA
CF-3,5756,CF,1294,2005,1,11,sdlg (1)
CF-3,5756,CF,1294,2006,NA,NA,dead (2)
CF-3,5756,CF,1294,2007,1,8,NA
CF-3,5756,CF,1294,2008,1,9,NA
CF-3,5756,CF,1294,2009,1,7,NA
CF-3,5756,CF,1616,1998,NA,NA,NA
CF-3,5756,CF,1616,1999,NA,NA,NA
CF-3,5756,CF,1616,2000,NA,NA,NA
CF-3,5756,CF,1616,2001,NA,NA,NA
CF-3,5756,CF,1616,2002,NA,NA,NA
CF-3,5756,CF,1616,2003,NA,NA,NA
CF-3,5756,CF,1616,2004,NA,NA,NA
CF-3,5756,CF,1616,2005,NA,NA,dead not on list (100)
CF-3,5756,CF,1616,2006,NA,NA,dead (2)
CF-3,5756,CF,1616,2007,4,53,NA
CF-3,5756,CF,1616,2008,4,22,NA
CF-3,5756,CF,1616,2009,4,30,NA
CF-6,CaboFrio-CF,CF,2121,1998,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,1998,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,1999,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,1999,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,2000,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,2000,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,2001,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,2001,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,2002,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,2002,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,2003,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,2003,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,2004,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,2004,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,2005,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,2005,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,2006,1,6,sdlg (1)
CF-6,CaboFrio-CF,CF,2121,2006,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,2007,1,8,NA
CF-6,CaboFrio-CF,CF,2121,2007,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,2008,1,9,NA
CF-6,CaboFrio-CF,CF,2121,2008,NA,NA,NA
CF-6,CaboFrio-CF,CF,2121,2009,NA,NA,dead (2)
CF-6,CaboFrio-CF,CF,2121,2009,1,6,NA
CF-4,Dimona-CF,CF,81,1998,1,25,NA
CF-4,Dimona-CF,CF,81,1999,2,30,NA
CF-4,Dimona-CF,CF,81,2000,NA,NA,plant missing (60)
CF-4,Dimona-CF,CF,81,2001,2,42,NA
CF-4,Dimona-CF,CF,81,2002,2,33,NA
CF-4,Dimona-CF,CF,81,2003,1,31,NA
CF-4,Dimona-CF,CF,81,2004,2,28,NA
CF-4,Dimona-CF,CF,81,2005,2,49,NA
CF-4,Dimona-CF,CF,81,2006,NA,NA,dead (2)
CF-4,Dimona-CF,CF,81,2007,1,9,NA
CF-1,Florestal-CF,CF,1,1998,2,23,NA
CF-1,Florestal-CF,CF,1,1999,NA,NA,plant missing (60)
CF-1,Florestal-CF,CF,1,2000,NA,NA,plant missing (60)
CF-1,Florestal-CF,CF,1,2001,4,29,NA
CF-1,Florestal-CF,CF,1,2002,5,32,NA
CF-1,Florestal-CF,CF,1,2003,4,48,NA
CF-1,Florestal-CF,CF,1,2004,3,52,NA
CF-1,Florestal-CF,CF,1,2005,NA,NA,dead (2)
CF-1,Florestal-CF,CF,1,2006,1,24,NA
CF-1,Florestal-CF,CF,1,2007,1,32,NA
CF-1,Florestal-CF,CF,1,2008,1,12,NA
CF-1,Florestal-CF,CF,1,2009,2,25,NA
CF-1,Florestal-CF,CF,799,1998,NA,NA,NA
CF-1,Florestal-CF,CF,799,1999,2,40,ULY (3)
CF-1,Florestal-CF,CF,799,2000,3,31,NA
CF-1,Florestal-CF,CF,799,2001,2,40,NA
CF-1,Florestal-CF,CF,799,2002,2,49,NA
CF-1,Florestal-CF,CF,799,2003,2,40,NA
CF-1,Florestal-CF,CF,799,2004,NA,NA,dead (2)
CF-1,Florestal-CF,CF,799,2006,1,15,NA
CF-1,Florestal-CF,CF,1508,1998,NA,NA,NA
CF-1,Florestal-CF,CF,1508,1999,NA,NA,NA
CF-1,Florestal-CF,CF,1508,2000,NA,NA,NA
CF-1,Florestal-CF,CF,1508,2001,NA,NA,NA
CF-1,Florestal-CF,CF,1508,2002,NA,NA,NA
CF-1,Florestal-CF,CF,1508,2003,1,7,sdlg (1)
CF-1,Florestal-CF,CF,1508,2004,NA,NA,dead (2)
CF-1,Florestal-CF,CF,1508,2006,1,9,NA
CF-5,PortoAlegre-CF,CF,139,1998,NA,NA,NA
CF-5,PortoAlegre-CF,CF,139,1999,1,25,ULY (3)
CF-5,PortoAlegre-CF,CF,139,2000,NA,NA,plant missing (60)
CF-5,PortoAlegre-CF,CF,139,2001,1,27,NA
CF-5,PortoAlegre-CF,CF,139,2002,3,36,NA
CF-5,PortoAlegre-CF,CF,139,2003,1,8,NA
CF-5,PortoAlegre-CF,CF,139,2004,1,5,NA
CF-5,PortoAlegre-CF,CF,139,2005,NA,NA,plant missing (60)
CF-5,PortoAlegre-CF,CF,139,2006,NA,NA,dead (2)
CF-5,PortoAlegre-CF,CF,139,2007,1,13,NA
CF-5,PortoAlegre-CF,CF,139,2008,2,17,NA
CF-5,PortoAlegre-CF,CF,139,2009,3,20,NA
CF-5,PortoAlegre-CF,CF,196,1998,NA,NA,NA
CF-5,PortoAlegre-CF,CF,196,1999,2,16,ULY (3)
CF-5,PortoAlegre-CF,CF,196,2000,NA,NA,plant missing (60)
CF-5,PortoAlegre-CF,CF,196,2001,3,19,NA
CF-5,PortoAlegre-CF,CF,196,2002,3,20,NA
CF-5,PortoAlegre-CF,CF,196,2003,4,20,NA
CF-5,PortoAlegre-CF,CF,196,2004,NA,NA,dead (2)
CF-5,PortoAlegre-CF,CF,196,2006,1,16,NA
CF-5,PortoAlegre-CF,CF,196,2007,1,13,NA
CF-5,PortoAlegre-CF,CF,196,2008,2,17,NA
CF-5,PortoAlegre-CF,CF,196,2009,3,13,NA
CF-5,PortoAlegre-CF,CF,238,1998,NA,NA,NA
CF-5,PortoAlegre-CF,CF,238,1999,NA,NA,NA
CF-5,PortoAlegre-CF,CF,238,2000,NA,NA,NA
CF-5,PortoAlegre-CF,CF,238,2001,NA,NA,NA
CF-5,PortoAlegre-CF,CF,238,2002,NA,NA,NA
CF-5,PortoAlegre-CF,CF,238,2003,NA,NA,NA
CF-5,PortoAlegre-CF,CF,238,2004,1,15,sdlg (1)
CF-5,PortoAlegre-CF,CF,238,2005,1,15,NA
CF-5,PortoAlegre-CF,CF,238,2006,NA,NA,dead (2)
CF-5,PortoAlegre-CF,CF,238,2007,1,20,NA
CF-5,PortoAlegre-CF,CF,238,2008,3,23,NA
CF-5,PortoAlegre-CF,CF,238,2009,2,24,NA
FF-7,5754,10-ha,812,2006,NA,NA,dead (2)
FF-7,5754,10-ha,812,2006,1,11,NA