"plotID","plot","habitat","tag_number","row","column","year","shts","ht","code.notes"
"CF-3","5756","CF","1616","C","9","1998",NA,NA,NA
"CF-3","5756","CF","1616","C","9","1999",NA,NA,NA
"CF-3","5756","CF","1616","C","9","2000",NA,NA,NA
"CF-3","5756","CF","1616","C","9","2001",NA,NA,NA
"CF-3","5756","CF","1616","C","9","2002",NA,NA,NA
"CF-3","5756","CF","1616","C","9","2003",NA,NA,NA
"CF-3","5756","CF","1616","C","9","2004",NA,NA,NA
"CF-3","5756","CF","1616","C","9","2005",NA,NA,"dead not on list (100)"
"CF-3","5756","CF","1616","C","9","2006",NA,NA,"dead (2)"
"CF-3","5756","CF","1616","C","9","2007","4","53",NA
"CF-3","5756","CF","1616","C","9","2008","4","22",NA
"CF-3","5756","CF","1616","C","9","2009","4","30",NA
"","","","","","","","","",""
"FF-2","2108","1-ha","17","A","4","1998",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","1998",NA,NA,NA
"FF-2","2108","1-ha","17","A","4","1999",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","1999","1","11","ULY (3)"
"FF-2","2108","1-ha","17","A","4","2000",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","2000","1","14",NA
"FF-2","2108","1-ha","17","A","4","2001",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","2001","1","10",NA
"FF-2","2108","1-ha","17","A","4","2002",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","2002","2","12",NA
"FF-2","2108","1-ha","17","A","4","2003",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","2003","1","10",NA
"FF-2","2108","1-ha","17","A","4","2004",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","2004","1","17",NA
"FF-2","2108","1-ha","17","A","4","2005",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","2005","3","18",NA
"FF-2","2108","1-ha","17","A","4","2006",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","2006",NA,NA,"dead (2)"
"FF-2","2108","1-ha","17","A","4","2007","1","16",NA
"FF-2","2108","1-ha","17","A","7","2007",NA,NA,NA
"FF-2","2108","1-ha","17","A","4","2008","1","11",NA
"FF-2","2108","1-ha","17","A","7","2008",NA,NA,NA
"FF-2","2108","1-ha","17","A","4","2009","1","13",NA
"FF-2","2108","1-ha","17","A","7","2009",NA,NA,NA
"","","","","","","","","",""
"CF-2","5750","CF","236","G","9","1998",NA,NA,NA
"CF-2","5750","CF","236","H","9","1998","2","22",NA
"CF-2","5750","CF","236","G","9","1999",NA,NA,NA
"CF-2","5750","CF","236","H","9","1999","2","16",NA
"CF-2","5750","CF","236","G","9","2000",NA,NA,NA
"CF-2","5750","CF","236","H","9","2000","1","22",NA
"CF-2","5750","CF","236","G","9","2001",NA,NA,NA
"CF-2","5750","CF","236","H","9","2001","2","24",NA
"CF-2","5750","CF","236","G","9","2002",NA,NA,NA
"CF-2","5750","CF","236","H","9","2002","2","21",NA
"CF-2","5750","CF","236","G","9","2003",NA,NA,NA
"CF-2","5750","CF","236","H","9","2003","2","17",NA
"CF-2","5750","CF","236","G","9","2004",NA,NA,NA
"CF-2","5750","CF","236","H","9","2004","1","19",NA
"CF-2","5750","CF","236","G","9","2005",NA,NA,NA
"CF-2","5750","CF","236","H","9","2005","1","13",NA
"CF-2","5750","CF","236","G","9","2006",NA,NA,NA
"CF-2","5750","CF","236","H","9","2006",NA,NA,"dead (2)"
"CF-2","5750","CF","236","G","9","2007","1","10",NA
"CF-2","5750","CF","236","H","9","2007",NA,NA,NA
"CF-2","5750","CF","236","G","9","2008",NA,NA,NA
"CF-2","5750","CF","236","H","9","2008",NA,NA,NA
"CF-2","5750","CF","236","G","9","2009",NA,NA,NA
"CF-2","5750","CF","236","H","9","2009",NA,NA,NA
"","","","","","","","","",""
"FF-1","2107","1-ha","237","C","8","1998",NA,NA,NA
"FF-1","2107","1-ha","237","D","6","1998",NA,NA,NA
"FF-1","2107","1-ha","237","C","8","1999",NA,NA,NA
"FF-1","2107","1-ha","237","D","6","1999",NA,NA,NA
"FF-1","2107","1-ha","237","C","8","2000","1","6","sdlg (1)"
"FF-1","2107","1-ha","237","D","6","2000",NA,NA,NA
"FF-1","2107","1-ha","237","C","8","2001",NA,NA,"dead (2)"
"FF-1","2107","1-ha","237","D","6","2001",NA,NA,NA
"FF-1","2107","1-ha","237","C","8","2002",NA,NA,NA
"FF-1","2107","1-ha","237","D","6","2002",NA,NA,NA
"FF-1","2107","1-ha","237","C","8","2003",NA,NA,NA
"FF-1","2107","1-ha","237","D","6","2003",NA,NA,NA
"FF-1","2107","1-ha","237","C","8","2004",NA,NA,NA
"FF-1","2107","1-ha","237","D","6","2004",NA,NA,NA
"FF-1","2107","1-ha","237","C","8","2005",NA,NA,NA
"FF-1","2107","1-ha","237","D","6","2005",NA,NA,NA
"FF-1","2107","1-ha","237","C","8","2006",NA,NA,NA
"FF-1","2107","1-ha","237","D","6","2006",NA,NA,NA
"FF-1","2107","1-ha","237","C","8","2007",NA,NA,NA
"FF-1","2107","1-ha","237","D","6","2007","1","12","sdlg (1)"
"FF-1","2107","1-ha","237","C","8","2008",NA,NA,NA
"FF-1","2107","1-ha","237","D","6","2008","1","22",NA
"FF-1","2107","1-ha","237","C","8","2009",NA,NA,NA
"FF-1","2107","1-ha","237","D","6","2009","4","29",NA
"","","","","","","","","",""
"CF-3","5756","CF","29","E","2","1998",NA,"70",NA
"CF-3","5756","CF","29","E","3","1998","2","54",NA
"CF-3","5756","CF","29","E","2","1999","2","40",NA
"CF-3","5756","CF","29","E","3","1999","4","56",NA
"CF-3","5756","CF","29","E","2","2000","3","53",NA
"CF-3","5756","CF","29","E","3","2000","5","96",NA
"CF-3","5756","CF","29","E","2","2001","5","46",NA
"CF-3","5756","CF","29","E","3","2001","9","79",NA
"CF-3","5756","CF","29","E","2","2002","4","51",NA
"CF-3","5756","CF","29","E","3","2002","5","67",NA
"CF-3","5756","CF","29","E","2","2003","2","54",NA
"CF-3","5756","CF","29","E","3","2003","3","55",NA
"CF-3","5756","CF","29","E","2","2004","2","58",NA
"CF-3","5756","CF","29","E","3","2004","3","52",NA
"CF-3","5756","CF","29","E","2","2005","3","55",NA
"CF-3","5756","CF","29","E","3","2005","2","15",NA
"CF-3","5756","CF","29","E","2","2006","3","50","2x in field (200)"
"CF-3","5756","CF","29","E","3","2006",NA,NA,"2x in field (200)"
"CF-3","5756","CF","29","E","2","2007","2","48",NA
"CF-3","5756","CF","29","E","3","2007",NA,NA,"dead (2)"
"CF-3","5756","CF","29","E","2","2008","2","36",NA
"CF-3","5756","CF","29","E","3","2008",NA,NA,NA
"CF-3","5756","CF","29","E","2","2009","2","35",NA
"CF-3","5756","CF","29","E","3","2009",NA,NA,NA
"","","","","","","","","",""
"FF-3","5751","1-ha","365","C","6","1998",NA,NA,NA
"FF-3","5751","1-ha","365","D","5","1998",NA,NA,NA
"FF-3","5751","1-ha","365","C","6","1999",NA,NA,NA
"FF-3","5751","1-ha","365","D","5","1999",NA,NA,NA
"FF-3","5751","1-ha","365","C","6","2000",NA,NA,NA
"FF-3","5751","1-ha","365","D","5","2000",NA,NA,NA
"FF-3","5751","1-ha","365","C","6","2001",NA,NA,NA
"FF-3","5751","1-ha","365","D","5","2001",NA,NA,NA
"FF-3","5751","1-ha","365","C","6","2002",NA,NA,NA
"FF-3","5751","1-ha","365","D","5","2002",NA,NA,NA
"FF-3","5751","1-ha","365","C","6","2003",NA,NA,NA
"FF-3","5751","1-ha","365","D","5","2003",NA,NA,NA
"FF-3","5751","1-ha","365","C","6","2004",NA,NA,NA
"FF-3","5751","1-ha","365","D","5","2004",NA,NA,NA
"FF-3","5751","1-ha","365","C","6","2005",NA,NA,NA
"FF-3","5751","1-ha","365","D","5","2005",NA,NA,NA
"FF-3","5751","1-ha","365","C","6","2006",NA,NA,NA
"FF-3","5751","1-ha","365","D","5","2006",NA,NA,NA
"FF-3","5751","1-ha","365","C","6","2007","1","7","sdlg (1)"
"FF-3","5751","1-ha","365","D","5","2007",NA,NA,NA
"FF-3","5751","1-ha","365","C","6","2008",NA,NA,"dead (2)"
"FF-3","5751","1-ha","365","D","5","2008","3","40",NA
"FF-3","5751","1-ha","365","C","6","2009",NA,NA,NA
"FF-3","5751","1-ha","365","D","5","2009",NA,NA,NA
"","","","","","","","","",""
"FF-4","5753","1-ha","412","E","8","1998","1","80",NA
"FF-4","5753","1-ha","412","E","8","1999","2","75",NA
"FF-4","5753","1-ha","412","E","8","2000","3","74",NA
"FF-4","5753","1-ha","412","E","8","2001","2","62",NA
"FF-4","5753","1-ha","412","E","8","2002","1","15","under branchfall (90)"
"FF-4","5753","1-ha","412","E","8","2003","1","36",NA
"FF-4","5753","1-ha","412","E","8","2004","1","20",NA
"FF-4","5753","1-ha","412","E","8","2005",NA,NA,"dead (2)"
"FF-4","5753","1-ha","412","E","8","2006","1","15",NA
"FF-4","5753","1-ha","412","E","8","2007","1","7",NA
"FF-4","5753","1-ha","412","E","8","2008",NA,NA,"plant missing (60)"
"FF-4","5753","1-ha","412","E","8","2009","1","10",NA
"","","","","","","","","",""
"CF-3","5756","CF","793","A","7","1998",NA,NA,NA
"CF-3","5756","CF","793","A","7","1999",NA,NA,NA
"CF-3","5756","CF","793","A","7","2000","1","11","sdlg (1)"
"CF-3","5756","CF","793","A","7","2001","1","13",NA
"CF-3","5756","CF","793","A","7","2002","2","17",NA
"CF-3","5756","CF","793","A","7","2003","2","22",NA
"CF-3","5756","CF","793","A","7","2004","2","19",NA
"CF-3","5756","CF","793","A","7","2005",NA,NA,"dead (2)"
"CF-3","5756","CF","793","A","7","2006",NA,NA,NA
"CF-3","5756","CF","793","A","7","2007","1","14",NA
"CF-3","5756","CF","793","A","7","2008","1","10",NA
"CF-3","5756","CF","793","A","7","2009","1","7",NA
"","","","","","","","","",""
"CF-4","Dimona-CF","CF","81","E","9","1998","1","25",NA
"CF-4","Dimona-CF","CF","81","E","9","1999","2","30",NA
"CF-4","Dimona-CF","CF","81","E","9","2000",NA,NA,"plant missing (60)"
"CF-4","Dimona-CF","CF","81","E","9","2001","2","42",NA
"CF-4","Dimona-CF","CF","81","E","9","2002","2","33",NA
"CF-4","Dimona-CF","CF","81","E","9","2003","1","31",NA
"CF-4","Dimona-CF","CF","81","E","9","2004","2","28",NA
"CF-4","Dimona-CF","CF","81","E","9","2005","2","49",NA
"CF-4","Dimona-CF","CF","81","E","9","2006",NA,NA,"dead (2)"
"CF-4","Dimona-CF","CF","81","E","9","2007","1","9",NA
"CF-4","Dimona-CF","CF","81","E","9","2008",NA,NA,NA
"CF-4","Dimona-CF","CF","81","E","9","2009",NA,NA,NA
"","","","","","","","","",""
"FF-7","5754","10-ha","812","B","4","2006",NA,NA,"dead (2)"
"FF-7","5754","10-ha","812","D","9","2006","1","11",NA
"","","","","","","","","",""
"CF-3","5756","CF","816","A","3","1998",NA,NA,NA
"CF-3","5756","CF","816","D","9","1998",NA,NA,NA
"CF-3","5756","CF","816","A","3","1999",NA,NA,NA
"CF-3","5756","CF","816","D","9","1999",NA,NA,NA
"CF-3","5756","CF","816","A","3","2000","1","7","sdlg (1)"
"CF-3","5756","CF","816","D","9","2000",NA,NA,NA
"CF-3","5756","CF","816","A","3","2001","1","10",NA
"CF-3","5756","CF","816","D","9","2001",NA,NA,NA
"CF-3","5756","CF","816","A","3","2002",NA,NA,"dead (2)"
"CF-3","5756","CF","816","D","9","2002",NA,NA,NA
"CF-3","5756","CF","816","A","3","2003",NA,NA,NA
"CF-3","5756","CF","816","D","9","2003",NA,NA,NA
"CF-3","5756","CF","816","A","3","2004",NA,NA,NA
"CF-3","5756","CF","816","D","9","2004",NA,NA,NA
"CF-3","5756","CF","816","A","3","2005",NA,NA,NA
"CF-3","5756","CF","816","D","9","2005",NA,NA,NA
"CF-3","5756","CF","816","A","3","2006",NA,NA,NA
"CF-3","5756","CF","816","D","9","2006",NA,NA,NA
"CF-3","5756","CF","816","A","3","2007",NA,NA,NA
"CF-3","5756","CF","816","D","9","2007",NA,NA,NA
"CF-3","5756","CF","816","A","3","2008",NA,NA,NA
"CF-3","5756","CF","816","D","9","2008",NA,NA,NA
"CF-3","5756","CF","816","A","3","2009",NA,NA,NA
"CF-3","5756","CF","816","D","9","2009","4","70",NA
"","","","","","","","","",""
"CF-3","5756","CF","929","B","6","1998",NA,NA,NA
"CF-3","5756","CF","929","C","8","1998",NA,NA,NA
"CF-3","5756","CF","929","B","6","1999",NA,NA,NA
"CF-3","5756","CF","929","C","8","1999",NA,NA,NA
"CF-3","5756","CF","929","B","6","2000",NA,NA,NA
"CF-3","5756","CF","929","C","8","2000",NA,NA,NA
"CF-3","5756","CF","929","B","6","2001","1","5","sdlg (1)"
"CF-3","5756","CF","929","C","8","2001",NA,NA,NA
"CF-3","5756","CF","929","B","6","2002",NA,NA,"dead (2)"
"CF-3","5756","CF","929","C","8","2002",NA,NA,NA
"CF-3","5756","CF","929","B","6","2003",NA,NA,NA
"CF-3","5756","CF","929","C","8","2003",NA,NA,NA
"CF-3","5756","CF","929","B","6","2004",NA,NA,NA
"CF-3","5756","CF","929","C","8","2004",NA,NA,NA
"CF-3","5756","CF","929","B","6","2005",NA,NA,NA
"CF-3","5756","CF","929","C","8","2005",NA,NA,NA
"CF-3","5756","CF","929","B","6","2006",NA,NA,NA
"CF-3","5756","CF","929","C","8","2006",NA,NA,NA
"CF-3","5756","CF","929","B","6","2007",NA,NA,NA
"CF-3","5756","CF","929","C","8","2007","1","17","sdlg (1)"
"CF-3","5756","CF","929","B","6","2008",NA,NA,NA
"CF-3","5756","CF","929","C","8","2008",NA,NA,NA
"CF-3","5756","CF","929","B","6","2009",NA,NA,NA
"CF-3","5756","CF","929","C","8","2009",NA,NA,NA
"","","","","","","","","",""
"CF-3","5756","CF","933","A","7","1998",NA,NA,NA
"CF-3","5756","CF","933","A","7","1999",NA,NA,NA
"CF-3","5756","CF","933","A","7","2000",NA,NA,NA
"CF-3","5756","CF","933","A","7","2001","1","14","sdlg (1)"
"CF-3","5756","CF","933","A","7","2002","1","10",NA
"CF-3","5756","CF","933","A","7","2003","1","5",NA
"CF-3","5756","CF","933","A","7","2004","1","10",NA
"CF-3","5756","CF","933","A","7","2005",NA,NA,"dead (2)"
"CF-3","5756","CF","933","A","7","2006","7","70",NA
"CF-3","5756","CF","933","A","7","2007","10","72",NA
"CF-3","5756","CF","933","A","7","2008","7","74",NA
"CF-3","5756","CF","933","A","7","2009","5","74",NA
